row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ dự phòngtài chính,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ dự phòngtài chính,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.007.907.900.000,451.543.290.363,(81.035.546.498),8.525.313.060,2.007.734.351,821.487.103.328,2.210.435.794.604,1007907900000.0,451543290363.0,-81035546498.0,8525313060.0,2007734351.0,821487103328.0,2210435794604.0
Lợi nhuận thuần,Lợi nhuận thuần,Lợi nhuận thuần,,,,,,,,,,,,,,
trong năm,Lợi nhuận thuần > trong năm,trong năm,-,-,-,-,-,410.342.366.234,410.342.366.234,,,,,,410342366234.0,410342366234.0
Cổ tức công bố,Lợi nhuận thuần > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,(192.626.196.000),(192.626.196.000),,,,,,-192626196000.0,-192626196000.0
Mua lại cổ phiếu quỹ,Lợi nhuận thuần > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(3.301.938),-,-,-,(3.301.938),,,-3301938.0,,,,-3301938.0
Trích lập quỹ khen,Trích lập quỹ khen,Trích lập quỹ khen,,,,,,,,,,,,,,
"thường, phúc lợi","Trích lập quỹ khen > thường, phúc lợi","thường, phúc lợi",-,-,-,-,-,(23.233.584.000),(23.233.584.000),,,,,,-23233584000.0,-23233584000.0
Trích lập quỹ khác,Trích lập quỹ khen > Trích lập quỹ khác,Trích lập quỹ khác,-,-,-,-,36.988.161.000,(36.988.161.000),-,,,,,36988161000.0,-36988161000.0,
Sử dụng quỹ khác,Trích lập quỹ khen > Sử dụng quỹ khác,Sử dụng quỹ khác,-,-,-,-,(25.717.883.234),-,(25.717.883.234),,,,,-25717883234.0,,-25717883234.0
Số cuối năm,Trích lập quỹ khen > Số cuối năm,Số cuối năm,1.007.907.900.000,451.543.290.363,(81.038.848.436),8.525.313.060,13.278.012.117,978.981.528.562,2.379.197.195.666,1007907900000.0,451543290363.0,-81038848436.0,8525313060.0,13278012117.0,978981528562.0,2379197195666.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.007.907.900.000,451.543.290.363,(81.038.848.436),8.525.313.060,13.278.012.117,978.981.528.562,2.379.197.195.666,1007907900000.0,451543290363.0,-81038848436.0,8525313060.0,13278012117.0,978981528562.0,2379197195666.0
Lợi nhuận thuần,Lợi nhuận thuần,Lợi nhuận thuần,,,,,,,,,,,,,,
trong năm,Lợi nhuận thuần > trong năm,trong năm,-,-,-,-,-,652.874.541.807,652.874.541.807,,,,,,652874541807.0,652874541807.0
Cổ tức công bố,Lợi nhuận thuần > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,(144.469.647.000),(144.469.647.000),,,,,,-144469647000.0,-144469647000.0
Tái phát hành cổphiêu quỹ (*),Lợi nhuận thuần > Tái phát hành cổphiêu quỹ (*),Tái phát hành cổphiêu quỹ (*),,35.747.180.000,28.974.400.000,-,-,-,64.721.580.000,,35747180000.0,28974400000.0,,,,64721580000.0
Mua lại cổ phiếu quỹ,Lợi nhuận thuần > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(49.247.074),-,-,-,(49.247.074),,,-49247074.0,,,,-49247074.0
Trích lập quỹ khen,Trích lập quỹ khen,Trích lập quỹ khen,,,,,,,,,,,,,,
"thường, phúc lợi","Trích lập quỹ khen > thường, phúc lợi","thường, phúc lợi",-,-,-,-,-,(16.413.694.648),(16.413.694.648),,,,,,-16413694648.0,-16413694648.0
Trích lập quỹ khác,Trích lập quỹ khen > Trích lập quỹ khác,Trích lập quỹ khác,-,-,-,-,18.465.406.480,(18.465.406.480),-,,,,,18465406480.0,-18465406480.0,
Sử dụng quỹ khác,Trích lập quỹ khen > Sử dụng quỹ khác,Sử dụng quỹ khác,-,-,-,-,(25.138.263.228),,(25.138.263.228),,,,,-25138263228.0,,-25138263228.0
Số cuối năm,Trích lập quỹ khen > Số cuối năm,Số cuối năm,1.007.907.900.000,487.290.470.363,(52.113.695.510),8.525.313.060,6.605.155.369,1.452.507.322.241,2.910.722.465.523,1007907900000.0,487290470363.0,-52113695510.0,8525313060.0,6605155369.0,1452507322241.0,2910722465523.0
