row_label_raw,row_label_full,Trả trước cho người bán,169.550.875.892,(90.183.227.000),79.367.648.892,numeric__169.550.875.892,numeric__(90.183.227.000),numeric__79.367.648.892
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,16.761.942.226,90.183.227.000,106.945.169.226,16761942226.0,90183227000.0,106945169226.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,44.456.331.634,(7.172.099.617),37.284.232.017,44456331634.0,-7172099617.0,37284232017.0
Dự phòng giám giả đầu tưtài chính dài hạn,Dự phòng giám giả đầu tưtài chính dài hạn,Dự phòng giám giả đầu tưtài chính dài hạn,(7.172.099.617),7.172.099.617,-,-7172099617.0,7172099617.0,
