row_label_raw,row_label_full,Lương tháng 13,Số cuối năm > 65.064.286.000,VND Số đầu năm > 16.229.395.000,numeric__Số cuối năm > 65.064.286.000,numeric__VND Số đầu năm > 16.229.395.000
Chi phí điện,Chi phí điện,Chi phí điện,11.691.391.739,9.362.335.924,11691391739.0,9362335924.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,7.662.678.218,10.317.543.485,7662678218.0,10317543485.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,4.486.704.614,2.917.954.261,4486704614.0,2917954261.0
Khác,Khác,Khác,15.135.596.926,3.751.265.555,15135596926.0,3751265555.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,104.040.657.497,42.578.494.225,104040657497.0,42578494225.0
