row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Cổ phiếu quỹTriệu VND,Quỹ dự trữbố sung vốn điều lệTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Các quỹ khácTriệu VND,Lợi nhuận churaphân phốiTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Cổ phiếu quỹTriệu VND,numeric__Quỹ dự trữbố sung vốn điều lệTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Các quỹ khácTriệu VND,numeric__Lợi nhuận churaphân phốiTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,3.000.000,(34.200),77.075,163.357,3,161.344,3.367.579,3000000.0,-34200.0,77075.0,163357.0,3.0,161344.0,3367579.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,112.868,112.868,,,,,,112868.0,112868.0
Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,-,-,8.068,16.133,-,(24.201),-,,,8068.0,16133.0,,-24201.0,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(118.480),(118.480),,,,,,-118480.0,-118480.0
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,-,(11.320),(11.320),,,,,,-11320.0,-11320.0
Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,-,-,-,-,-,(1.231),(1.231),,,,,,-1231.0,-1231.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,3.000.000,(34.200),85.143,179.490,3,118.980,3.349.416,3000000.0,-34200.0,85143.0,179490.0,3.0,118980.0,3349416.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,198.166,198.166,,,,,,198166.0,198166.0
Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,-,-,5.449,10.898,-,(16.347),-,,,5449.0,10898.0,,-16347.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,-,(13.279),(13.279),,,,,,-13279.0,-13279.0
Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,-,-,-,-,-,(2.501),(2.501),,,,,,-2501.0,-2501.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,3.000.000,(34.200),90.592,190.388,3,285.019,3.531.802,3000000.0,-34200.0,90592.0,190388.0,3.0,285019.0,3531802.0
