row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Có tài sảnbảo đảmTriệu VND,Không có tàisản bảo đảmTriệu VND,TổngTriệu VND,numeric__Có tài sảnbảo đảmTriệu VND,numeric__Không có tàisản bảo đảmTriệu VND,numeric__TổngTriệu VND
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,,
Tiền gửi tại NHNNVN,Các khoản cho vay và phải thu > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,2.251.582,2.251.582,,2251582.0,2251582.0
Tiền gửi tại các tổ chức tín dụng khác – gộp (i),Các khoản cho vay và phải thu > Tiền gửi tại các tổ chức tín dụng khác – gộp (i),Tiền gửi tại các tổ chức tín dụng khác – gộp (i),-,4.163.859,4.163.859,,4163859.0,4163859.0
Cho vay khách hàng – gộp (ii),Các khoản cho vay và phải thu > Cho vay khách hàng – gộp (ii),Cho vay khách hàng – gộp (ii),24.425.650,259.853,24.685.503,24425650.0,259853.0,24685503.0
"Các khoản lãi, phí phải thu","Các khoản cho vay và phải thu > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",-,1.542.115,1.542.115,,1542115.0,1542115.0
Các tài sản tài chính khác – gộp,Các khoản cho vay và phải thu > Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,-,79.472,79.472,,79472.0,79472.0
,,,24.425.650,8.296.881,32.722.531,24425650.0,8296881.0,32722531.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,,,
Chứng khoán nợ sẵn sàng để bán – gộp (iii),Tài sản tài chính sẵn sàng để bán > Chứng khoán nợ sẵn sàng để bán – gộp (iii),Chứng khoán nợ sẵn sàng để bán – gộp (iii),-,1.152.286,1.152.286,,1152286.0,1152286.0
Các khoản đầu tư giữ đến ngày đáo hạn,Các khoản đầu tư giữ đến ngày đáo hạn,Các khoản đầu tư giữ đến ngày đáo hạn,,,,,,
Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp (iii),Các khoản đầu tư giữ đến ngày đáo hạn > Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp (iii),Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp (iii),-,266.426,266.426,,266426.0,266426.0
Các cam kết ngoại bằng,Các cam kết ngoại bằng,Các cam kết ngoại bằng,,,,,,
Cam kết trong nghiệp vụ L/C – gộp,Các cam kết ngoại bằng > Cam kết trong nghiệp vụ L/C – gộp,Cam kết trong nghiệp vụ L/C – gộp,17.958,-,17.958,17958.0,,17958.0
Cam kết khác – gộp,Các cam kết ngoại bằng > Cam kết khác – gộp,Cam kết khác – gộp,-,69.185,69.185,,69185.0,69185.0
,,,17.958,69.185,87.143,17958.0,69185.0,87143.0
,,,24.443.608,9.784.778,34.228.386,24443608.0,9784778.0,34228386.0
