row_label_raw,row_label_full,Giao dịch phát sinh trong năm,2017Triệu VND,2016Triệu VND,numeric__2017Triệu VND,numeric__2016Triệu VND
Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con,,
Chi phí lãi tiền gửi,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,97,812,97.0,812.0
Chi phí thuê văn phòng,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con > Chi phí thuê văn phòng,Chi phí thuê văn phòng,7.705,6.740,7705.0,6740.0
Cổ tức,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con > Cổ tức,Cổ tức,12.007,3.889,12007.0,3889.0
Chi phí thẩm định tài sản,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con > Chi phí thẩm định tài sản,Chi phí thẩm định tài sản,1.047,-,1047.0,
Chi phí khác,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con > Chi phí khác,Chi phí khác,660,-,660.0,
Tiền chuyển công ty con để trích lập các quỹ,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con > Tiền chuyển công ty con để trích lập các quỹ,Tiền chuyển công ty con để trích lập các quỹ,2.051,1.231,2051.0,1231.0
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,
Tiền gửi,Thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,113.041,45.743,113041.0,45743.0
Chi phí lãi tiền gửi,Thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,42,21,42.0,21.0
Thù lao,Thành viên Hội đồng Quản trị > Thù lao,Thù lao,7.364,6.757,7364.0,6757.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,
Tiền gửi,Thành viên Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,36.862,7.559,36862.0,7559.0
Chi phí lãi tiền gửi,Thành viên Ban Tổng Giám đốc > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,72,133,72.0,133.0
Tiền lương và thường,Thành viên Ban Tổng Giám đốc > Tiền lương và thường,Tiền lương và thường,8.660,8.755,8660.0,8755.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,
Tiền gửi,Thành viên Ban Kiểm soát > Tiền gửi,Tiền gửi,10.733,399,10733.0,399.0
Chi phí lãi tiền gửi,Thành viên Ban Kiểm soát > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,13,34,13.0,34.0
Thù lao,Thành viên Ban Kiểm soát > Thù lao,Thù lao,2.327,2.139,2327.0,2139.0
Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị,,
Tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị > Tiền gửi,Tiền gửi,2.422.064,1.704.164,2422064.0,1704164.0
Chi phí lãi tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,6.822,5.416,6822.0,5416.0
Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc,Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc,Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc,Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc,Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc,,
Tiền gửi,Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc > Tiền gửi,Tiền gửi,91.084,34.107,91084.0,34107.0
Chi phí lãi tiền gửi,Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,1.067,1.151,1067.0,1151.0
Các công ty và cá nhân có liên quan Ban Kiểm soát,Các công ty và cá nhân có liên quan Ban Kiểm soát,Các công ty và cá nhân có liên quan Ban Kiểm soát,Các công ty và cá nhân có liên quan Ban Kiểm soát,Các công ty và cá nhân có liên quan Ban Kiểm soát,,
Tiền gửi,Các công ty và cá nhân có liên quan Ban Kiểm soát > Tiền gửi,Tiền gửi,10.282,5.880,10282.0,5880.0
Chi phí lãi tiền gửi,Các công ty và cá nhân có liên quan Ban Kiểm soát > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,133,102,133.0,102.0
