row_label_raw,row_label_full,Số dư cuối năm,31/12/2017Triệu VND,31/12/2016Triệu VND,numeric__31/12/2017Triệu VND,numeric__31/12/2016Triệu VND
Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con,,,,
Tiền gửi,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con > Tiền gửi,Tiền gửi,102.976,2.922,102976.0,2922.0
Đặt cọc thuê văn phòng,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác tài sản– Ngân hàng Thương mại Cổ phần Kiên Long – Công ty con > Đặt cọc thuê văn phòng,Đặt cọc thuê văn phòng,1.280,1.000,1280.0,1000.0
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,,,
Tiền gửi,Thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,826,199,826.0,199.0
Lãi phải trả,Thành viên Hội đồng Quản trị > Lãi phải trả,Lãi phải trả,2,4,2.0,4.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,,,
Tiền gửi,Thành viên Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,1.674,710,1674.0,710.0
Lãi phải trả,Thành viên Ban Tổng Giám đốc > Lãi phải trả,Lãi phải trả,40,10,40.0,10.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,,,
Tiền gửi,Thành viên Ban Kiểm soát > Tiền gửi,Tiền gửi,328,345,328.0,345.0
Lãi phải trả,Thành viên Ban Kiểm soát > Lãi phải trả,Lãi phải trả,-,1,,1.0
Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị > Tiền gửi,Tiền gửi,185.241,109.740,185241.0,109740.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến Thành viên Hội đồngQuản trị > Lãi phải trả,Lãi phải trả,193,2.369,193.0,2369.0
Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc,Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc,Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc,,,,
Tiền gửi,Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc > Tiền gửi,Tiền gửi,20.002,12.196,20002.0,12196.0
Lãi phải trả,Các công ty và cá nhân có liên quan Thành viên Ban TổngGiám đốc > Lãi phải trả,Lãi phải trả,449,199,449.0,199.0
Các công ty và cá nhân có liên quan Ban Kiểm soát,Các công ty và cá nhân có liên quan Ban Kiểm soát,Các công ty và cá nhân có liên quan Ban Kiểm soát,,,,
Tiền gửi,Các công ty và cá nhân có liên quan Ban Kiểm soát > Tiền gửi,Tiền gửi,1.830,1.638,1830.0,1638.0
Lãi phải trả,Các công ty và cá nhân có liên quan Ban Kiểm soát > Lãi phải trả,Lãi phải trả,65,48,65.0,48.0
