row_label_raw,row_label_full,Tên,31/12/2017,31/12/2017_1,31/12/2016,31/12/2016_1,numeric__31/12/2017,numeric__31/12/2017_1,numeric__31/12/2016,numeric__31/12/2016_1
Tên,Tên,Tên,Tỷ lệnám giữ%,Giá gốcTriệu VND,Tỷ lệnám giữ%,Giá gốcTriệu VND,,,,
Đầu tư vào các doanhnghiệp khácCTCP Đầu tư Xây dựng HồngPhát,Tên > Đầu tư vào các doanhnghiệp khácCTCP Đầu tư Xây dựng HồngPhát,Đầu tư vào các doanhnghiệp khácCTCP Đầu tư Xây dựng HồngPhát,"2,92%",5.250,"2,92%",5.250,0.0292,5250.0,0.0292,5250.0
CTCP Sài Gòn - Rạch Giá,Tên > CTCP Sài Gòn - Rạch Giá,CTCP Sài Gòn - Rạch Giá,"6,96%",9.271,"6,96%",9.271,0.0696,9271.0,0.0696,9271.0
,,,,14.521,,14.521,,14521.0,,14521.0
