row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Quá hạnTriệu VND,Không chịu lãiTriệu VND,Dưới 1 thángTriệu VND,Từ trên 1 đến3 thángTriệu VND,Từ trên 3 đến6 thángTriệu VND,Từ trên 6 đến12 thángTriệu VND,Từ trên 1 đến5 nămTriệu VND,Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạnTriệu VND,numeric__Không chịu lãiTriệu VND,numeric__Dưới 1 thángTriệu VND,numeric__Từ trên 1 đến3 thángTriệu VND,numeric__Từ trên 3 đến6 thángTriệu VND,numeric__Từ trên 6 đến12 thángTriệu VND,numeric__Từ trên 1 đến5 nămTriệu VND,numeric__Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,299.046,-,-,-,-,-,-,299.046,,299046.0,,,,,,,299046.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,454.877,446.901,-,-,-,-,-,901.778,,454877.0,446901.0,,,,,,901778.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,1.890.239,1.200.000,-,-,-,-,3.090.239,,,1890239.0,1200000.0,,,,,3090239.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,343.936,-,233.893,201.191,877.897,18.109.522,-,-,19.766.439,343936.0,,233893.0,201191.0,877897.0,18109522.0,,,19766439.0
Chứng khoản đầu tư – gộp,Tài sản > Chứng khoản đầu tư – gộp,Chứng khoản đầu tư – gộp,-,918.748,-,-,-,-,2.131.109,-,3.049.857,,918748.0,,,,,2131109.0,,3049857.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,514.521,-,-,-,-,-,-,514.521,,514521.0,,,,,,,514521.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.313.576,-,-,-,-,-,-,1.313.576,,1313576.0,,,,,,,1313576.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,-,1.774.030,-,-,-,-,-,-,1.774.030,,1774030.0,,,,,,,1774030.0
,,,343.936,5.274.798,2.571.033,1.401.191,877.897,18.109.522,2.131.109,-,30.709.486,343936.0,5274798.0,2571033.0,1401191.0,877897.0,18109522.0,2131109.0,,30709486.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,200.928,-,-,-,-,-,200.928,,,200928.0,,,,,,200928.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,1.719.852,1.650.937,17.333,89.353,-,-,3.477.475,,,1719852.0,1650937.0,17333.0,89353.0,,,3477475.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,6.574.318,4.330.189,6.473.841,5.115.558,398.176,-,22.892.082,,,6574318.0,4330189.0,6473841.0,5115558.0,398176.0,,22892082.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,491.596,-,-,-,-,-,-,491.596,,491596.0,,,,,,,491596.0
,,,-,491.596,8.495.098,5.981.126,6.491.174,5.204.911,398.176,-,27.062.081,,491596.0,8495098.0,5981126.0,6491174.0,5204911.0,398176.0,,27062081.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,343.936,4.783.202,(5.924.065),(4.579.935),(5.613.277),12.904.611,1.732.933,-,3.647.405,343936.0,4783202.0,-5924065.0,-4579935.0,-5613277.0,12904611.0,1732933.0,,3647405.0
