row_label_raw,row_label_full,2017,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sản cố địnhhữu hình khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,"numeric__Thiết bị, dụngcụ quản lýTriệu VND",numeric__Tài sản cố địnhhữu hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,448.910,142.599,91.623,10.922,9.823,703.877,448910.0,142599.0,91623.0,10922.0,9823.0,703877.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,922,621,-,-,32,1.575,922.0,621.0,,,32.0,1575.0
Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13(i)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13(i)),Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13(i)),129.119,21.055,1.578,-,-,151.752,129119.0,21055.0,1578.0,,,151752.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(934),(519),-,(239),-,(1.692),-934.0,-519.0,,-239.0,,-1692.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,578.017,163.756,93.201,10.683,9.855,855.512,578017.0,163756.0,93201.0,10683.0,9855.0,855512.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,30.334,43.357,35.640,6.394,4.440,120.165,30334.0,43357.0,35640.0,6394.0,4440.0,120165.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,21.085,15.707,9.429,1.226,1.887,49.334,21085.0,15707.0,9429.0,1226.0,1887.0,49334.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(934),(519),-,(239),-,(1.692),-934.0,-519.0,,-239.0,,-1692.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,50.485,58.545,45.069,7.381,6.327,167.807,50485.0,58545.0,45069.0,7381.0,6327.0,167807.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,418.576,99.242,55.983,4.528,5.383,583.712,418576.0,99242.0,55983.0,4528.0,5383.0,583712.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,527.532,105.211,48.132,3.302,3.528,687.705,527532.0,105211.0,48132.0,3302.0,3528.0,687705.0
