row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2017 Triệu VND,31/12/2016 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2017 Triệu VND,numeric__31/12/2016 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,15,-,200.928,,15.0,,200928.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,7.028.038,3.477.475,,16.0,7028038.0,3477475.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,6.863.405,3.010.758,,,6863405.0,3010758.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,164.633,466.717,,,164633.0,466717.0
III,B > III,III,Tiền gửi của khách hàng,17,26.227.168,22.892.082,,17.0,26227168.0,22892082.0
VII,B > VII,VII,Các khoản nợ khác,,612.588,491.596,,,612588.0,491596.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,480.931,401.935,,,480931.0,401935.0
3,B > 3,3,Các khoản phải trả và công nợ khác,18,131.657,89.661,,18.0,131657.0,89661.0
,,,TỔNG NỘ PHẢI TRẢ,,33.867.794,27.062.081,,,33867794.0,27062081.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,19,3.531.802,3.349.416,,19.0,3531802.0,3349416.0
1,B > 1,1,Vốn,,2.965.800,2.965.800,,,2965800.0,2965800.0
a,B > a,a,Vốn điều lệ,,3.000.000,3.000.000,,,3000000.0,3000000.0
d,B > d,d,Cố phiếu quỹ,,(34.200),(34.200),,,-34200.0,-34200.0
2,B > 2,2,Các quỹ,,280.983,264.636,,,280983.0,264636.0
5,B > 5,5,Lợi nhuận chưa phân phối,,285.019,118.980,,,285019.0,118980.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,3.531.802,3.349.416,,,3531802.0,3349416.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,37.399.596,30.411.497,,,37399596.0,30411497.0
