row_label_raw,row_label_full,Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn:- Chứng khoán đầu tư giữ đến ngày đáo hạn khác – gộp,31/12/2017 > Giá trị ghi số Triệu VND > 636.789,31/12/2017 > Giá trị hợp lý Triệu VND > (*),31/12/2016 > Giá trị ghi số Triệu VND > 715.408,31/12/2016 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2017 > Giá trị ghi số Triệu VND > 636.789,numeric__31/12/2017 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2016 > Giá trị ghi số Triệu VND > 715.408,numeric__31/12/2016 > Giá trị hợp lý Triệu VND > (*)
Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,2.251.582,2.251.582,901.778,901.778,2251582.0,2251582.0,901778.0,901778.0
Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,4.163.859,(*),3.090.239,(*),4163859.0,,3090239.0,
- Cho vay khách hàng – gộp,- Cho vay khách hàng – gộp,- Cho vay khách hàng – gộp,24.685.503,(*),19.766.439,(*),24685503.0,,19766439.0,
"- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",1.542.115,(*),1.274.730,(*),1542115.0,,1274730.0,
- Các khoản phải thu,- Các khoản phải thu,- Các khoản phải thu,79.472,(*),78.808,(*),79472.0,,78808.0,
Được phân loại là tài sản tài chính sẵn sàng để bán:- Chứng khoán vốn sẵn sàng để bán,Được phân loại là tài sản tài chính sẵn sàng để bán:- Chứng khoán vốn sẵn sàng để bán,Được phân loại là tài sản tài chính sẵn sàng để bán:- Chứng khoán vốn sẵn sàng để bán,520.730,(*),523.284,(*),520730.0,,523284.0,
- Chứng khoán nợ sẵn sàng để bán▪ Có giá niêm yết,- Chứng khoán nợ sẵn sàng để bán▪ Có giá niêm yết,- Chứng khoán nợ sẵn sàng để bán▪ Có giá niêm yết,1.152.286,(*),1.811.165,(*),1152286.0,,1811165.0,
- Chứng khoán nợ sẵn sàng để bán▪ Có giá niêm yết,- Chứng khoán nợ sẵn sàng để bán▪ Có giá niêm yết,- Chứng khoán nợ sẵn sàng để bán▪ Có giá niêm yết,866.856,926.056,208.459,225.213,866856.0,926056.0,208459.0,225213.0
▪ Chưa có giá niêm yết,▪ Chưa có giá niêm yết,▪ Chưa có giá niêm yết,285.430,(*),1.602.706,(*),285430.0,,1602706.0,
"- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn",514.521,(*),514.521,(*),514521.0,,514521.0,
Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:- Các khoản nợ NHNNVN- Tiền gửi và vay các tổ chức tín dụng khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:- Các khoản nợ NHNNVN- Tiền gửi và vay các tổ chức tín dụng khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:- Các khoản nợ NHNNVN- Tiền gửi và vay các tổ chức tín dụng khác,(7.028.038),(*),(200.928),(*),-7028038.0,,-200928.0,
Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:- Các khoản nợ NHNNVN- Tiền gửi và vay các tổ chức tín dụng khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:- Các khoản nợ NHNNVN- Tiền gửi và vay các tổ chức tín dụng khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:- Các khoản nợ NHNNVN- Tiền gửi và vay các tổ chức tín dụng khác,(26.227.168),(*),(3.477.475),(*),-26227168.0,,-3477475.0,
- Tiền gửi của khách hàng,- Tiền gửi của khách hàng,- Tiền gửi của khách hàng,(480.931),(*),(22.892.082),(*),-480931.0,,-22892082.0,
"- Các khoản lãi, phí phải trả- Các khoản phải trả và công nợ khác","- Các khoản lãi, phí phải trả- Các khoản phải trả và công nợ khác","- Các khoản lãi, phí phải trả- Các khoản phải trả và công nợ khác",(111.944),(*),(401.935),(*),-111944.0,,-401935.0,
"- Các khoản lãi, phí phải trả- Các khoản phải trả và công nợ khác","- Các khoản lãi, phí phải trả- Các khoản phải trả và công nợ khác","- Các khoản lãi, phí phải trả- Các khoản phải trả và công nợ khác",(111.944),(*),(64.720),(*),-111944.0,,-64720.0,
