row_label_raw,row_label_full,2016,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sản cố địnhhữu hình khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,"numeric__Thiết bị, dụngcụ quản lýTriệu VND",numeric__Tài sản cố địnhhữu hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,268.041,86.414,84.699,12.510,9.823,461.487,268041.0,86414.0,84699.0,12510.0,9823.0,461487.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,169,1.521,-,-,-,1.690,169.0,1521.0,,,,1690.0
Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13(i)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13(i)),Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13(i)),185.500,58.273,6.965,-,-,250.738,185500.0,58273.0,6965.0,,,250738.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(3.126),(5.283),(41),(1.588),-,(10.038),-3126.0,-5283.0,-41.0,-1588.0,,-10038.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(1.674),1.674,-,-,-,-,-1674.0,1674.0,,,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,448.910,142.599,91.623,10.922,9.823,703.877,448910.0,142599.0,91623.0,10922.0,9823.0,703877.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,17.623,35.944,26.487,6.435,2.540,89.029,17623.0,35944.0,26487.0,6435.0,2540.0,89029.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,14.327,12.607,9.185,1.521,1.900,39.540,14327.0,12607.0,9185.0,1521.0,1900.0,39540.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(1.563),(5.247),(32),(1.562),-,(8.404),-1563.0,-5247.0,-32.0,-1562.0,,-8404.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(53),53,-,-,-,-,-53.0,53.0,,,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,30.334,43.357,35.640,6.394,4.440,120.165,30334.0,43357.0,35640.0,6394.0,4440.0,120165.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,250.418,50.470,58.212,6.075,7.283,372.458,250418.0,50470.0,58212.0,6075.0,7283.0,372458.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,418.576,99.242,55.983,4.528,5.383,583.712,418576.0,99242.0,55983.0,4528.0,5383.0,583712.0
