row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2021 VND,Năm kết thúc ngày > 30/9/2020 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2021 VND,numeric__Năm kết thúc ngày > 30/9/2020 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận kế toán trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,01,,4.844.218.520.463,1.229.157.747.928,1.0,,4844218520463.0,1229157747928.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,,,
Khẩu hao và phân bổ,Điều chỉnh cho các khoản > Khẩu hao và phân bổ,Khẩu hao và phân bổ,02,,297.087.701.643,345.980.466.978,2.0,,297087701643.0,345980466978.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,,50.400.186.000,8.194.132.525,3.0,,50400186000.0,8194132525.0
(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại,,,,,,,,
các khoản mục tiền tệ có gốc ngoại tệ,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > các khoản mục tiền tệ có gốc ngoại tệ,các khoản mục tiền tệ có gốc ngoại tệ,04,,(4.361.788.337),7.983.777.905,4.0,,-4361788337.0,7983777905.0
Lãi từ hoạt động đầu tư,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(2.413.142.693.730),(789.158.399.428),5.0,,-2413142693730.0,-789158399428.0
Chi phí lãi vay,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > Chi phí lãi vay,Chi phí lãi vay,06,,163.982.509.811,277.498.364.219,6.0,,163982509811.0,277498364219.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,2.938.184.435.850,1.079.656.090.127,8.0,,2938184435850.0,1079656090127.0
Biến động các khoản phải thu,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > Biến động các khoản phải thu,Biến động các khoản phải thu,09,,(4.396.695.871.911),(376.215.302.995),9.0,,-4396695871911.0,-376215302995.0
