row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2021VND,30/9/2020VND,,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,572.789.649.650,771.493.515.517,572789649650.0,771493515517.0
Chi phí xuất khẩu,Chi phí xuất khẩu,Chi phí xuất khẩu,1.697.338.531.240,443.895.444.297,1697338531240.0,443895444297.0
Chi phí thuê,Chi phí thuê,Chi phí thuê,157.374.566.374,155.050.248.876,157374566374.0,155050248876.0
Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,141.316.737.508,142.049.846.427,141316737508.0,142049846427.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,60.889.736.428,81.026.319.039,60889736428.0,81026319039.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,172.601.983.301,81.662.146.417,172601983301.0,81662146417.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,56.695.244.435,54.927.308.793,56695244435.0,54927308793.0
Chi phí bán hàng khác,Chi phí bán hàng khác,Chi phí bán hàng khác,112.920.091.606,108.736.740.618,112920091606.0,108736740618.0
,,,2.971.926.540.542,1.838.841.569.984,2971926540542.0,1838841569984.0
