row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,484.406.352.732,2.523.902.329.811,286.843.639.080,76.375.572.729,20.737.819.422,3.392.265.713.774,484406352732.0,2523902329811.0,286843639080.0,76375572729.0,20737819422.0,3392265713774.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,54.215.834.479,1.207.586.364,-,-,55.423.420.843,,54215834479.0,1207586364.0,,,55423420843.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,141.703.283,2.121.199.883,1.166.102.000,-,-,3.429.005.166,141703283.0,2121199883.0,1166102000.0,,,3429005166.0
Chuyển từ tài sản cố định hữu hình thuê tài chính,Nguyên giá > Chuyển từ tài sản cố định hữu hình thuê tài chính,Chuyển từ tài sản cố định hữu hình thuê tài chính,-,13.389.448.333,9.560.000.000,-,-,22.949.448.333,,13389448333.0,9560000000.0,,,22949448333.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(71.955.649),(6.097.113.853),(2.128.712.500),-,-,(8.297.782.002),-71955649.0,-6097113853.0,-2128712500.0,,,-8297782002.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(2.096.225.625),-,-,-,(2.096.225.625),,-2096225625.0,,,,-2096225625.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,484.476.100.366,2.585.435.473.028,296.648.614.944,76.375.572.729,20.737.819.422,3.463.673.580.489,484476100366.0,2585435473028.0,296648614944.0,76375572729.0,20737819422.0,3463673580489.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,278.882.994.848,1.738.186.050.970,172.098.126.466,36.296.971.627,19.338.001.359,2.244.802.145.270,278882994848.0,1738186050970.0,172098126466.0,36296971627.0,19338001359.0,2244802145270.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,21.652.518.028,219.048.547.987,34.223.500.536,9.441.256.473,288.883.421,284.654.706.445,21652518028.0,219048547987.0,34223500536.0,9441256473.0,288883421.0,284654706445.0
Chuyển từ tài sản cố định hữu hình thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình thuê tài chính,Chuyển từ tài sản cố định hữu hình thuê tài chính,-,3.149.966.649,2.312.317.061,-,-,5.462.283.710,,3149966649.0,2312317061.0,,,5462283710.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(71.955.649),(3.566.823.990),(1.844.204.185),-,-,(5.482.983.824),-71955649.0,-3566823990.0,-1844204185.0,,,-5482983824.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(1.933.273.726),-,-,-,(1.933.273.726),,-1933273726.0,,,,-1933273726.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,300.463.557.227,1.954.884.467.890,206.789.739.878,45.738.228.100,19.626.884.780,2.527.502.877.875,300463557227.0,1954884467890.0,206789739878.0,45738228100.0,19626884780.0,2527502877875.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,205.523.357.884,785.716.278.841,114.745.512.614,40.078.601.102,1.399.818.063,1.147.463.568.504,205523357884.0,785716278841.0,114745512614.0,40078601102.0,1399818063.0,1147463568504.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,184.012.543.139,630.551.005.138,89.858.875.066,30.637.344.629,1.110.934.642,936.170.702.614,184012543139.0,630551005138.0,89858875066.0,30637344629.0,1110934642.0,936170702614.0
