row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2021 VND,Năm kết thúc ngày > 30/9/2020 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2021 VND,numeric__Năm kết thúc ngày > 30/9/2020 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
Tiền thu từ phát hành cổ phiếu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ phát hành cổ phiếu,Tiền thu từ phát hành cổ phiếu,31,,44.000.000.000,-,31.0,,44000000000.0,
Tiền mua lại cổ phiếu đã phát hành,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền mua lại cổ phiếu đã phát hành,Tiền mua lại cổ phiếu đã phát hành,32,,-,(812.000.000),32.0,,,-812000000.0
Tiền thu từ bán cổ phiếu quỹ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ bán cổ phiếu quỹ,Tiền thu từ bán cổ phiếu quỹ,32,,8.980.355.547,-,32.0,,8980355547.0,
Tiền thu từ đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,,36.399.316.632.634,20.593.501.692.686,33.0,,36399316632634.0,20593501692686.0
Tiền trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,,(36.736.621.271.149),(21.178.118.714.736),34.0,,-36736621271149.0,-21178118714736.0
Tiền trả nợ gốc thuê tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,,(10.027.814.809),(20.860.716.112),35.0,,-10027814809.0,-20860716112.0
Tiền trả cổ tức,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả cổ tức,Tiền trả cổ tức,36,,(307.131.948),(22.299.100),36.0,,-307131948.0,-22299100.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(294.659.229.725),(606.312.037.262),40.0,,-294659229725.0,-606312037262.0
Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),50,,(76.327.711.348),258.303.782.065,50.0,,-76327711348.0,258303782065.0
Tiền và các khoản tương đương tiền đầu năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,,480.196.944.895,222.264.128.540,60.0,,480196944895.0,222264128540.0
Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,61,,2.147.905.870,(370.965.710),61.0,,2147905870.0,-370965710.0
Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61),Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61),70,5,406.017.139.417,480.196.944.895,70.0,5.0,406017139417.0,480196944895.0
