row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2021VND,30/9/2020VND,,
Công ty TNHH Một Thành Viên Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,14.380.220.390.226,5.905.022.432.009,14380220390226.0,5905022432009.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,12.406.066.542.279,5.478.697.620.076,12406066542279.0,5478697620076.0
Bán tài sản cố định,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Bán tài sản cố định,Bán tài sản cố định,2.146.533.482,86.129.750,2146533482.0,86129750.0
Mua tài sản cố định,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Mua tài sản cố định,Mua tài sản cố định,-,53.217.000,,53217000.0
Hàng bán bị trả lại/giảm giá hàng bán,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Hàng bán bị trả lại/giảm giá hàng bán,Hàng bán bị trả lại/giảm giá hàng bán,94.564.747,251.224.373,94564747.0,251224373.0
Trả lại hàng mua,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Trả lại hàng mua,Trả lại hàng mua,2.964.150.670,2.700.349.416,2964150670.0,2700349416.0
Hàng mua được giảm giá,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Hàng mua được giảm giá,Hàng mua được giảm giá,56.386.365,134.905.155,56386365.0,134905155.0
Doanh thu từ cho thuê tài sản,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Doanh thu từ cho thuê tài sản,Doanh thu từ cho thuê tài sản,9.670.000,-,9670000.0,
Chi phí thuê,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Chi phí thuê,Chi phí thuê,404.139.768,404.139.768,404139768.0,404139768.0
Lợi nhuận được chia,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Lợi nhuận được chia,Lợi nhuận được chia,946.725.035.692,514.874.175.062,946725035692.0,514874175062.0
Chi phí gia công,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Chi phí gia công,Chi phí gia công,150.905.593.027,90.057.765.739,150905593027.0,90057765739.0
