row_label_raw,row_label_full,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_1,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_2,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_3,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_4,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_5,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_6,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_1,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_2,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_3,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_4,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_5,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:_6
,,,Bên cho vay,Loại tiên,Hạn mức,Lãi suất,Lãi suất,Tài sản đảm bảo,,,,,,
,,,Bên cho vay,Loại tiên,Hạn mức,30/9/2021,1/10/2020,Tài sản đảm bảo,,,,,,
Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,,,
i.,Bên thứ ba > i.,i.,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,VND USD,3.000 tỷ VND,"3,50%","4,50% - 4,90%","Quyền sử dụng đất, nhà cửa, vật kiến trúc, máy móc và thiết bị và phải thu của khách hàng",,,,0.035,,
ii.,ii.,ii.,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,VND USD,2.397 tỷ VND,"1,50% - 2,00%","1,85% - 2,00%","Quyền sử dụng đất, máy móc và thiết bị và hàng tồn kho, khoản phải thu, nhà cửa, vật kiến trúc",,,,,,
iii.,iii.,iii.,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,VND USD,1.500 tỷ VND,"3,50% - 3,80%","4,20% - 4,50%","Máy móc và thiết bị và một phần công trình xây dựng trên đất của Công ty TNHH Một Thành Viên Hoa Sen Nghệ An, công ty con",,,,,,
iv.,iii. > iv.,iv.,Ngân hàng TNHH MTV HSBC (Việt Nam),VND,60 triệu USD,"3,35%","4,10% - 4,90%","Hàng tồn kho, máy móc và thiết bị, quyền sử dụng đất và công trình xây dựng trên đất và một số tài sản cố định của Công ty TNHH Một Thành Viên Hoa Sen Bình Định, công ty con",,,,0.0335,,
v.,iii. > v.,v.,Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,VND,6 triệu USD,"3,30%","5,00%",Không có tài sản đảm bảo,,,,0.033,0.05,
vi.,iii. > vi.,vi.,Ngân hàng TNHH MTV UOB Việt Nam,VND USD,20 triệu USD,"3,00%","4,00% - 4,20%",Hàng tồn kho,,,,0.03,,
vii.,vii.,vii.,Ngân hàng Malayan Banking Berhad - Chi nhánh TP. Hồ Chí Minh,VND USD,6.6 triệu USD,"3,20% - 3,30%","4,10% - 4,70%",Hàng tồn kho,,,,,,
viii.,vii. > viii.,viii.,Ngân hàng TMCP Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,VND,500 tỷ VND,"3,90%","4,50%",Không có tài sản đảm bảo,,,,0.039,0.045,
