row_label_raw,row_label_full,Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:,Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_1,Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_2,Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_3,Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_4,Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_5,Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_6,numeric__Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_1,numeric__Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_2,numeric__Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_3,numeric__Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_4,numeric__Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_5,numeric__Các khoản tiền thuê tối thiểu phải trả cho các hợp đồng thuê tài chính không thể hủy ngang như sau:_6
,,,Tổng khoản thanh toán tiền thuê tài chính VND,30/9/2021,30/9/2021,Tổng khoản thanh toán tiền thuê tài chính VND,1/10/2020,1/10/2020,,,,,,
,,,Tổng khoản thanh toán tiền thuê tài chính VND,Tiền lãi thuê VND,Nợ gốc VND,Tổng khoản thanh toán tiền thuê tài chính VND,Tiền lãi thuê VND,Nợ gốc VND,,,,,,
Trong vòng một năm,Trong vòng một năm,Trong vòng một năm,-,-,-,5.762.851.279,658.285.615,5.104.565.664,,,,5762851279.0,658285615.0,5104565664.0
Trong vòng hai đến năm năm,Trong vòng hai đến năm năm,Trong vòng hai đến năm năm,-,-,-,5.147.734.966,224.485.821,4.923.249.145,,,,5147734966.0,224485821.0,4923249145.0
,,,-,-,-,10.910.586.245,882.771.436,10.027.814.809,,,,10910586245.0,882771436.0,10027814809.0
