row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2021 VND,Năm kết thúc ngày > 30/9/2020 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2021 VND,numeric__Năm kết thúc ngày > 30/9/2020 VND
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,01,29,86.441.507.897.173,45.103.812.699.734,1.0,29.0,86441507897173.0,45103812699734.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,29,174.499.462.741,150.953.669.705,2.0,29.0,174499462741.0,150953669705.0
Doanh thu thuần về bán hàng (10 = 01 - 02),Doanh thu thuần về bán hàng (10 = 01 - 02),Doanh thu thuần về bán hàng (10 = 01 - 02),10,29,86.267.008.434.432,44.952.859.030.029,10.0,29.0,86267008434432.0,44952859030029.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,30,80.500.728.426.285,42.130.019.773.392,11.0,30.0,80500728426285.0,42130019773392.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,5.766.280.008.147,2.822.839.256.637,20.0,,5766280008147.0,2822839256637.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,31,2.660.392.557.597,882.731.990.749,21.0,31.0,2660392557597.0,882731990749.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,32,354.050.453.366,372.603.906.385,22.0,32.0,354050453366.0,372603906385.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,163.982.509.811,277.498.364.219,23.0,,163982509811.0,277498364219.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,33,2.971.926.540.542,1.838.841.569.984,25.0,33.0,2971926540542.0,1838841569984.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,34,253.197.996.846,268.160.558.053,26.0,34.0,253197996846.0,268160558053.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,4.847.497.574.990,1.225.965.212.964,30.0,,4847497574990.0,1225965212964.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,35,7.884.997.850,19.875.796.975,31.0,35.0,7884997850.0,19875796975.0
Chi phí khác,Chi phí khác,Chi phí khác,32,36,11.164.052.377,16.683.262.011,32.0,36.0,11164052377.0,16683262011.0
Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),40,,(3.279.054.527),3.192.534.964,40.0,,-3279054527.0,3192534964.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,4.844.218.520.463,1.229.157.747.928,50.0,,4844218520463.0,1229157747928.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,38,515.776.476.827,172.226.511.967,51.0,38.0,515776476827.0,172226511967.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,38,(47.359.805.957),(18.653.863.474),52.0,38.0,-47359805957.0,-18653863474.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),60,,4.375.801.849.593,1.075.585.099.435,60.0,,4375801849593.0,1075585099435.0
