row_label_raw,row_label_full,col_0,Giá gốc/Số có khả năng trả nợ,Giá gốc/Số có khả năng trả nợ_1,numeric__Giá gốc/Số có khả năng trả nợ,numeric__Giá gốc/Số có khả năng trả nợ_1
,,,30/9/2021 VND,1/10/2020 VND,,
Công ty TNHH Gang Thép Hưng Nghiệp Formosa Hà Tĩnh,Công ty TNHH Gang Thép Hưng Nghiệp Formosa Hà Tĩnh,Công ty TNHH Gang Thép Hưng Nghiệp Formosa Hà Tĩnh,1.508.956.770.530,296.702.697.996,1508956770530.0,296702697996.0
"Xiamen ITG Group Corp., Ltd.","Xiamen ITG Group Corp., Ltd.","Xiamen ITG Group Corp., Ltd.",630.195.444.218,-,630195444218.0,
Công ty TNHH Thép Kim Quốc,Công ty TNHH Thép Kim Quốc,Công ty TNHH Thép Kim Quốc,622.557.774.639,59.872.948.917,622557774639.0,59872948917.0
Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,199.491.934.084,276.882.578.172,199491934084.0,276882578172.0
Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội - Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội - Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội - Bình Định,161.764.492.000,331.558.978.673,161764492000.0,331558978673.0
Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,159.185.584.085,200.540.364.464,159185584085.0,200540364464.0
Nippon Steel Trading Corporation,Nippon Steel Trading Corporation,Nippon Steel Trading Corporation,-,303.482.841.213,,303482841213.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,1.001.111.896.444,554.875.259.387,1001111896444.0,554875259387.0
,,,4.283.263.896.000,2.023.915.668.822,4283263896000.0,2023915668822.0
