row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2021VND,30/9/2020VND,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,15.613.730.729.165,9.053.226.500.894,15613730729165.0,9053226500894.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,15.866.720.483.372,9.531.890.292.386,15866720483372.0,9531890292386.0
Điều chuyển/bán tài sản cố định,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Điều chuyển/bán tài sản cố định,Điều chuyển/bán tài sản cố định,-,11.701.050.819,,11701050819.0
Hàng bán bị trả lại,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Hàng bán bị trả lại,Hàng bán bị trả lại,-,2.448.818.788,,2448818788.0
Lợi nhuận được chia,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Lợi nhuận được chia,Lợi nhuận được chia,120.808.132.718,12.308.639.166,120808132718.0,12308639166.0
Chi hộ,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Chi hộ,Chi hộ,156.947.487.796,148.988.924.860,156947487796.0,148988924860.0
Bán khác,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Bán khác,Bán khác,3.725.953,418.584.100,3725953.0,418584100.0
Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,,
Hoa Sen,Hoa Sen,Hoa Sen,Hoa Sen,Hoa Sen,,
Bán hàng hóa và thành phẩm,Hoa Sen > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,3.313.980.084.464,3.484.402.690.237,3313980084464.0,3484402690237.0
Mua hàng hóa và thành phẩm,Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,2.850.430.034.029,3.187.035.968.803,2850430034029.0,3187035968803.0
Bán tài sản cố định,Hoa Sen > Bán tài sản cố định,Bán tài sản cố định,-,18.181.818,,18181818.0
Mua tài sản cố định,Hoa Sen > Mua tài sản cố định,Mua tài sản cố định,87.770.891,-,87770891.0,
Doanh thu từ cho thuê tài sản,Hoa Sen > Doanh thu từ cho thuê tài sản,Doanh thu từ cho thuê tài sản,469.580.644,392.000.000,469580644.0,392000000.0
Chi phí thuê,Hoa Sen > Chi phí thuê,Chi phí thuê,1.645.321.674,1.336.599.965,1645321674.0,1336599965.0
Hàng bán bị trả lại,Hoa Sen > Hàng bán bị trả lại,Hàng bán bị trả lại,1.270.533.793,2.034.352.586,1270533793.0,2034352586.0
Lợi nhuận được chia,Hoa Sen > Lợi nhuận được chia,Lợi nhuận được chia,248.393.361.872,232.536.770.069,248393361872.0,232536770069.0
Bán khác,Hoa Sen > Bán khác,Bán khác,1.590.334,115.348.483,1590334.0,115348483.0
Mua khác,Hoa Sen > Mua khác,Mua khác,-,3.570.000,,3570000.0
Trả lại hàng mua/hàng mua được giảm giá,Hoa Sen > Trả lại hàng mua/hàng mua được giảm giá,Trả lại hàng mua/hàng mua được giảm giá,56.469.898,42.509.017,56469898.0,42509017.0
Cung cấp dịch vụ vận chuyển,Hoa Sen > Cung cấp dịch vụ vận chuyển,Cung cấp dịch vụ vận chuyển,49.359.856,-,49359856.0,
Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,7.970.825.645,3.508.899.196,7970825645.0,3508899196.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,1.630.046.559.177,1.529.863.165.679,1630046559177.0,1529863165679.0
Mua tài sản cố định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Mua tài sản cố định,Mua tài sản cố định,1.141.000.000,-,1141000000.0,
Lợi nhuận được chia,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Lợi nhuận được chia,Lợi nhuận được chia,69.057.496.793,35.488.493.426,69057496793.0,35488493426.0
Bán khác,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Bán khác,Bán khác,748.320,-,748320.0,
Mua khác,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Mua khác,Mua khác,-,10.576.607,,10576607.0
Trả lại hàng mua/hàng mua được giảm giá,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Trả lại hàng mua/hàng mua được giảm giá,Trả lại hàng mua/hàng mua được giảm giá,2.418.702,21.358.572,2418702.0,21358572.0
