row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ
,,,VND,VND,VND,VND,,,,
a. Các khoản phải trả người bán không phải là bên liên quan chủ yếu,a. Các khoản phải trả người bán không phải là bên liên quan chủ yếu,a. Các khoản phải trả người bán không phải là bên liên quan chủ yếu,4.671.593.432.695,4.671.593.432.695,3.733.539.993.276,3.733.539.993.276,4671593432695.0,4671593432695.0,3733539993276.0,3733539993276.0
"Mitsui & Co., Ltd.","Mitsui & Co., Ltd.","Mitsui & Co., Ltd.",1.932.552.508.387,1.932.552.508.387,-,-,1932552508387.0,1932552508387.0,,
Công ty Liên doanh điều hành Cửu Long,Công ty Liên doanh điều hành Cửu Long,Công ty Liên doanh điều hành Cửu Long,797.721.348.452,797.721.348.452,1.784.626.083.477,1.784.626.083.477,797721348452.0,797721348452.0,1784626083477.0,1784626083477.0
Vietsea Company Pte. Ltd.,Vietsea Company Pte. Ltd.,Vietsea Company Pte. Ltd.,524.958.303.910,524.958.303.910,-,-,524958303910.0,524958303910.0,,
Công ty Điều hành chung Hoàng Long,Công ty Điều hành chung Hoàng Long,Công ty Điều hành chung Hoàng Long,470.845.193.377,470.845.193.377,908.054.254.302,908.054.254.302,470845193377.0,470845193377.0,908054254302.0,908054254302.0
Công ty TNHH Dầu khí Việt Nhật,Công ty TNHH Dầu khí Việt Nhật,Công ty TNHH Dầu khí Việt Nhật,346.422.142.999,346.422.142.999,382.986.611.407,382.986.611.407,346422142999.0,346422142999.0,382986611407.0,382986611407.0
Công ty Điều hành chung Thăng Long,Công ty Điều hành chung Thăng Long,Công ty Điều hành chung Thăng Long,93.888.704.922,93.888.704.922,286.912.663.454,286.912.663.454,93888704922.0,93888704922.0,286912663454.0,286912663454.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,505.205.230.648,505.205.230.648,370.960.380.636,370.960.380.636,505205230648.0,505205230648.0,370960380636.0,370960380636.0
b. Phải trả người bán là các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 34),b. Phải trả người bán là các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 34),b. Phải trả người bán là các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 34),6.682.684.477.539,6.682.684.477.539,10.762.906.874.033,10.762.906.874.033,6682684477539.0,6682684477539.0,10762906874033.0,10762906874033.0
b. Phải trả người bán là các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 34),b. Phải trả người bán là các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 34),b. Phải trả người bán là các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 34),6.682.684.477.539,6.682.684.477.539,10.762.906.874.033,10.762.906.874.033,6682684477539.0,6682684477539.0,10762906874033.0,10762906874033.0
,,,11.354.277.910.234,11.354.277.910.234,14.496.446.867.309,14.496.446.867.309,11354277910234.0,11354277910234.0,14496446867309.0,14496446867309.0
