row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,24.536.799.663.095,32.860.681.385.594,,300.0,,24536799663095.0,32860681385594.0
I.,I.,I.,Nợ ngắn hạn,310,,23.680.413.430.325,31.995.985.193.521,,310.0,,23680413430325.0,31995985193521.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,11.354.277.910.234,14.496.446.867.309,,311.0,15.0,11354277910234.0,14496446867309.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,16,59.261.681.963,24.566.144.694,,312.0,16.0,59261681963.0,24566144694.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,17,1.046.127.487.204,1.145.522.958.563,,313.0,17.0,1046127487204.0,1145522958563.0
4.,4.,4.,Phải trả người lao động,314,,462.779.842.733,188.019.387.854,,314.0,,462779842733.0,188019387854.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,18,46.174.123.858,44.823.127.053,,315.0,18.0,46174123858.0,44823127053.0
6.,6.,6.,Phải trả ngắn hạn khác,319,19,50.201.901.264,49.681.950.225,,319.0,19.0,50201901264.0,49681950225.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,20,10.420.560.808.529,15.856.525.639.874,,320.0,20.0,10420560808529.0,15856525639874.0
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,,241.029.674.540,190.399.117.949,,322.0,,241029674540.0,190399117949.0
II.,II.,II.,Nợ dài hạn,330,,856.386.232.770,864.696.192.073,,330.0,,856386232770.0,864696192073.0
1.,1.,1.,Quỹ phát triển khoa học và công nghệ,343,21,856.386.232.770,864.696.192.073,,343.0,21.0,856386232770.0,864696192073.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,60.467.618.870.676,55.491.458.942.471,,400.0,,60467618870676.0,55491458942471.0
I.,I.,I.,Vốn chủ sở hữu,410,22,60.467.618.870.676,55.491.458.942.471,,410.0,22.0,60467618870676.0,55491458942471.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,50.072.996.860.000,31.004.996.160.000,,411.0,,50072996860000.0,31004996160000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,50.072.996.860.000,31.004.996.160.000,,,,50072996860000.0,31004996160000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,2.992.761.349.611,12.673.726.884.502,,418.0,,2992761349611.0,12673726884502.0
3.,3.,3.,Lợi nhuận sau thuế chưa phân phối,421,,7.401.860.661.065,11.812.735.897.969,,421.0,,7401860661065.0,11812735897969.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,2.194.519.732.860,11.496.008.322.860,,,,2194519732860.0,11496008322860.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,5.207.340.928.205,316.727.575.109,,,,5207340928205.0,316727575109.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,85.004.418.533.771,88.352.140.328.065,,440.0,,85004418533771.0,88352140328065.0
