row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ Đầu tư Phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ Đầu tư Phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,31.004.996.160.000,10.047.192.543.614,16.636.570.994.948,57.688.759.698.562,31004996160000.0,10047192543614.0,16636570994948.0,57688759698562.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,316.727.575.109,316.727.575.109,,,316727575109.0,316727575109.0
"Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành",-,-,(343.678.600.000),(343.678.600.000),,,-343678600000.0,-343678600000.0
Trích Quỹ Đầu tưphát triển,Trích Quỹ Đầu tưphát triển,Trích Quỹ Đầu tưphát triển,-,2.626.534.340.888,(2.626.534.340.888),-,,2626534340888.0,-2626534340888.0,
Chia cổ tức năm 2023,Chia cổ tức năm 2023,Chia cổ tức năm 2023,-,-,(2.170.349.731.200),(2.170.349.731.200),,,-2170349731200.0,-2170349731200.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,31.004.996.160.000,12.673.726.884.502,11.812.735.897.969,55.491.458.942.471,31004996160000.0,12673726884502.0,11812735897969.0,55491458942471.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,5.207.340.928.205,5.207.340.928.205,,,5207340928205.0,5207340928205.0
"Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)",-,-,(231.181.000.000),(231.181.000.000),,,-231181000000.0,-231181000000.0
Trích Quỹ Đầu tưphát triển (i),Trích Quỹ Đầu tưphát triển (i),Trích Quỹ Đầu tưphát triển (i),-,85.546.575.109,(85.546.575.109),-,,85546575109.0,-85546575109.0,
Tăng vốn trong năm (ii),Tăng vốn trong năm (ii),Tăng vốn trong năm (ii),19.068.000.700.000,(9.766.512.110.000),(9.301.488.590.000),-,19068000700000.0,-9766512110000.0,-9301488590000.0,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,50.072.996.860.000,2.992.761.349.611,7.401.860.661.065,60.467.618.870.676,50072996860000.0,2992761349611.0,7401860661065.0,60467618870676.0
