row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,"Phương tiện vậntải, thiết bị truyềnđần",Thiết bị văn phòng,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,"numeric__Phương tiện vậntải, thiết bị truyềnđần",numeric__Thiết bị văn phòng,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.420.522.641.725,38.857.468.986.937,182.684.061.188,610.156.871.845,740.567.912,46.071.573.229.607,6420522641725.0,38857468986937.0,182684061188.0,610156871845.0,740567912.0,46071573229607.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,9.319.458.952,117.064.688.927,2.659.365.738,24.176.035.268,-,153.219.548.885,9319458952.0,117064688927.0,2659365738.0,24176035268.0,,153219548885.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,4.158.061.513,58.641.926.246,-,39.090.909,-,62.839.078.668,4158061513.0,58641926246.0,,39090909.0,,62839078668.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.037.247.616),(1.263.689.819),(14.138.995.179),-,(19.439.932.614),,-4037247616.0,-1263689819.0,-14138995179.0,,-19439932614.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.434.000.162.190,39.029.138.354.494,184.079.737.107,620.233.002.843,740.667.912,46.268.191.924.546,6434000162190.0,39029138354494.0,184079737107.0,620233002843.0,740667912.0,46268191924546.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.716.382.512.765,28.693.150.523.292,136.364.311.056,544.678.758.329,608.769.282,33.091.184.874.724,3716382512765.0,28693150523292.0,136364311056.0,544678758329.0,608769282.0,33091184874724.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,189.116.778.420,1.889.762.714.298,10.787.293.736,22.557.772.036,31.000.000,2.112.255.558.490,189116778420.0,1889762714298.0,10787293736.0,22557772036.0,31000000.0,2112255558490.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,-,131.039.733,126.413.532,-,257.453.265,,,131039733.0,126413532.0,,257453265.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.987.086.732),(1.263.689.819),(14.129.436.427),-,(19.380.212.978),,-3987086732.0,-1263689819.0,-14129436427.0,,-19380212978.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.905.499.291.185,30.578.926.150.858,146.018.954.706,553.233.507.470,639.769.282,35.184.317.673.501,3905499291185.0,30578926150858.0,146018954706.0,553233507470.0,639769282.0,35184317673501.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.704.140.128.960,10.164.318.463.645,46.319.750.132,65.478.113.516,131.898.630,12.980.388.354.883,2704140128960.0,10164318463645.0,46319750132.0,65478113516.0,131898630.0,12980388354883.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.528.500.871.005,8.450.212.203.636,38.060.782.401,66.999.495.373,100.898.630,11.083.874.251.045,2528500871005.0,8450212203636.0,38060782401.0,66999495373.0,100898630.0,11083874251045.0
