row_label_raw,row_label_full,Ông Bùi Ngọc Dương,Chủ tịch,numeric__Chủ tịch
Ông Nguyễn Việt Thắng,Ông Nguyễn Việt Thắng,Ông Nguyễn Việt Thắng,Thành viên (bổ nhiệm ngày 23 tháng 4 năm 2025),
Ông Nguyễn Văn Hội,Ông Nguyễn Văn Hội,Ông Nguyễn Văn Hội,Thành viên,
Ông Hà Đồng,Ông Hà Đồng,Ông Hà Đồng,Thành viên,
Ông Khương Lê Thành,Ông Khương Lê Thành,Ông Khương Lê Thành,Thành viên,
Ông Hạng Anh Minh,Ông Hạng Anh Minh,Ông Hạng Anh Minh,Thành viên độc lập,
Ông Nguyễn Ngọc Quỳnh,Ông Nguyễn Ngọc Quỳnh,Ông Nguyễn Ngọc Quỳnh,Thành viên độc lập (bổ nhiệm ngày 23 tháng 4 năm 2025),
