row_label_raw,row_label_full,col_0,Vốn đã góp,Vốn đã góp_1,Vốn đã góp_2,Vốn đã góp_3,numeric__Vốn đã góp,numeric__Vốn đã góp_1,numeric__Vốn đã góp_2,numeric__Vốn đã góp_3
,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,
,,,VND,%,VND,%,,,,
Tập đoàn Công nghiệp -Năng lượng Quốc gia Việt Nam,Tập đoàn Công nghiệp -Năng lượng Quốc gia Việt Nam,Tập đoàn Công nghiệp -Năng lượng Quốc gia Việt Nam,46.130.540.980.000,"92,13%",28.563.802.470.000,"92,13%",46130540980000.0,0.9213,28563802470000.0,0.9213
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,3.942.455.880.000,"7,87%",2.441.193.690.000,"7,87%",3942455880000.0,0.0787,2441193690000.0,0.0787
,,,50.072.996.860.000,100%,31.004.996.160.000,100%,50072996860000.0,1.0,31004996160000.0,1.0
Cổ phiếu,Cổ phiếu,Cổ phiếu,,Số cuối năm,Số đầu năm,Số đầu năm,,,,
Số lượng cổ phiếu đã bán ra công chúng,Cổ phiếu > Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,,5.007.299.686,3.100.499.616,3.100.499.616,,5007299686.0,3100499616.0,3100499616.0
Cổ phiếu phổ thông,Cổ phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,,5.007.299.686,3.100.499.616,3.100.499.616,,5007299686.0,3100499616.0,3100499616.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,,-,-,-,,,,
Số lượng cổ phiếu đang lưu hành,Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,,5.007.299.686,3.100.499.616,3.100.499.616,,5007299686.0,3100499616.0,3100499616.0
Cổ phiếu phổ thông,Cổ phiếu ưu đãi > Cổ phiếu phổ thông,Cổ phiếu phổ thông,,5.007.299.686,3.100.499.616,3.100.499.616,,5007299686.0,3100499616.0,3100499616.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,,-,-,-,,,,
