row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,6.766.896.739.905,7.051.326.331.773,6766896739905.0,7051326331773.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
Doanh thu bán thành phẩm,Trong đó > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,3.438.346.341.408,3.187.556.892.952,3438346341408.0,3187556892952.0
"Doanh thu bán vật liệu, hàng hóa","Trong đó > Doanh thu bán vật liệu, hàng hóa","Doanh thu bán vật liệu, hàng hóa",3.129.008.412.919,3.613.884.758.484,3129008412919.0,3613884758484.0
Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Trong đó > Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,199.541.985.578,249.884.680.337,199541985578.0,249884680337.0
Các khoản giảm trừ doanh thu,Trong đó > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(89.799.175.977),(64.721.946.437),-89799175977.0,-64721946437.0
Chiết khấu thương mại,Trong đó > Chiết khấu thương mại,Chiết khấu thương mại,(88.057.681.762),(62.364.245.762),-88057681762.0,-62364245762.0
Hàng bán bị trả lại,Trong đó > Hàng bán bị trả lại,Hàng bán bị trả lại,(1.741.494.215),(2.357.700.675),-1741494215.0,-2357700675.0
Doanh thu thuần,Trong đó > Doanh thu thuần,Doanh thu thuần,6.677.097.563.928,6.986.604.385.336,6677097563928.0,6986604385336.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
Doanh thu bán thành phẩm,Trong đó > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,3.348.547.165.431,3.122.834.946.515,3348547165431.0,3122834946515.0
Doanh thu bán hàng hóa,Trong đó > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,3.129.008.412.919,3.613.884.758.484,3129008412919.0,3613884758484.0
Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Trong đó > Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,199.541.985.578,249.884.680.337,199541985578.0,249884680337.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên thứ ba,Trong đó: > Doanh thu đối với bên thứ ba,Doanh thu đối với bên thứ ba,1.968.508.115.730,1.814.997.226.014,1968508115730.0,1814997226014.0
Doanh thu đối với bên liên quan (Thuyết minh số 28),Trong đó: > Doanh thu đối với bên liên quan (Thuyết minh số 28),Doanh thu đối với bên liên quan (Thuyết minh số 28),4.708.589.448.198,5.171.607.159.322,4708589448198.0,5171607159322.0
