row_label_raw,row_label_full,Lợi nhuận được chia từ các công ty con(Thuyết minh số 28),Năm nay > 770.423.580.713,Đơn vị tính: VND > Năm trước > 78.118.793.364,numeric__Năm nay > 770.423.580.713,numeric__Đơn vị tính: VND > Năm trước > 78.118.793.364
Lãi tiền gửi và trả chậm,Lãi tiền gửi và trả chậm,Lãi tiền gửi và trả chậm,28.581.472.987,25.751.153.064,28581472987.0,25751153064.0
Doanh thu tài chính khác,Doanh thu tài chính khác,Doanh thu tài chính khác,-,2.000.000.000,,2000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,799.005.053.700,105.869.946.428,799005053700.0,105869946428.0
