row_label_raw,row_label_full,col_0,"Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn và dịch vụ xây lắp và hoạt chăn nuôi động thương mại khác","Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn và dịch vụ xây lắp và hoạt chăn nuôi động thương mại khác_1",Điều chỉnh và loại trừ,Tổng cộng,"numeric__Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn và dịch vụ xây lắp và hoạt chăn nuôi động thương mại khác","numeric__Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn và dịch vụ xây lắp và hoạt chăn nuôi động thương mại khác_1",numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
,,,"Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn và dịch vụ xây lắp và hoạt chăn nuôi động thương mại khác","Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn và dịch vụ xây lắp và hoạt chăn nuôi động thương mại khác",Điều chỉnh và loại trừ,Tổng cộng,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,6.461.083.879.602,219.134.654.148,(3.120.969.822),6.677.097.563.928,6461083879602.0,219134654148.0,-3120969822.0,6677097563928.0
Kết quả,Kết quả,Kết quả,,,,,,,,
Lợi nhuận kế toán trước thuế,Kết quả > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,972.242.520.019,10.685.689.349,-,982.928.209.368,972242520019.0,10685689349.0,,982928209368.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,30.502.753.924,2.137.137.871,-,32.639.891.795,30502753924.0,2137137871.0,,32639891795.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,941.739.766.095,8.548.551.478,-,950.288.317.573,941739766095.0,8548551478.0,,950288317573.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,8.303.534.822.725,,,,8303534822725.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,5.970.015.247.096,722.530.929.165,-,6.692.546.176.261,5970015247096.0,722530929165.0,,6692546176261.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),,,,1.610.988.646.464,,,,1610988646464.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,4.696.126.999.479,,,,4696126999479.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.354.441.613.741,341.685.385.738,-,4.696.126.999.479,4354441613741.0,341685385738.0,,4696126999479.0
Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày:,Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày:,Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày:,Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày:,Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày:,Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày:,Đơn vị tính: VND,,,,
,,,"Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi Kinh doanh bất động sản và dịch vụ xây lắp","Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi Kinh doanh bất động sản và dịch vụ xây lắp",Điều chỉnh và loại trừ,Tổng cộng,,,,
Doanh thu thuần,Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày: > Doanh thu thuần,Doanh thu thuần,6.714.917.046.420,276.205.085.731,(4.517.746.815),6.986.604.385.336,6714917046420.0,276205085731.0,-4517746815.0,6986604385336.0
