row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Mối quan hệ,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,,,
Công ty TNHH MTV Thương mại,Công ty TNHH MTV Thương mại,Công ty TNHH MTV Thương mại,,,,,,
Hiệp Quang,Công ty TNHH MTV Thương mại > Hiệp Quang,Hiệp Quang,Công ty con,127.947.107.590,-,,127947107590.0,
Công ty TNHH Dịch vụ thương mại,Công ty TNHH Dịch vụ thương mại,Công ty TNHH Dịch vụ thương mại,,,,,,
Bắc Ninh,Công ty TNHH Dịch vụ thương mại > Bắc Ninh,Bắc Ninh,Công ty con,217.899.607.606,-,,217899607606.0,
Công ty TNHH Đầu tư và Phát triển,Công ty TNHH Đầu tư và Phát triển,Công ty TNHH Đầu tư và Phát triển,,,,,,
Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển > Chăn nuôi gia công,Chăn nuôi gia công,Công ty con,20.511.612.000,-,,20511612000.0,
Công ty TNHH Lợn Giống Phú Thọ,Công ty TNHH Đầu tư và Phát triển > Công ty TNHH Lợn Giống Phú Thọ,Công ty TNHH Lợn Giống Phú Thọ,Công ty con,16.975.079.000,-,,16975079000.0,
Công ty TNHH DABACO Tuyên,Công ty TNHH DABACO Tuyên,Công ty TNHH DABACO Tuyên,,,,,,
Quang,Công ty TNHH DABACO Tuyên > Quang,Quang,Công ty con,170.755.279.000,-,,170755279000.0,
Công ty TNHH DABACO Bình,Công ty TNHH DABACO Bình,Công ty TNHH DABACO Bình,,,,,,
Phước,Công ty TNHH DABACO Bình > Phước,Phước,Công ty con,586.503.820.000,-,,586503820000.0,
Công ty TNHH MTV Gà giống,Công ty TNHH MTV Gà giống,Công ty TNHH MTV Gà giống,,,,,,
Dabaco,Công ty TNHH MTV Gà giống > Dabaco,Dabaco,Công ty con,70.000.000.000,-,,70000000000.0,
,,,,1.210.592.505.196,-,,1210592505196.0,
Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),,,
Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty con,32.263.526.683,-,,32263526683.0,
Công ty TNHH chế biến Thực phẩm Dabaco,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty TNHH chế biến Thực phẩm Dabaco,Công ty TNHH chế biến Thực phẩm Dabaco,Công ty liên kết,-,15.000.000.000,,,15000000000.0
,,,,32.263.526.683,15.000.000.000,,32263526683.0,15000000000.0
Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),,,
,,,,10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
,,,,10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
Phải trả người bán (Thuyết minh số 14),Phải trả người bán (Thuyết minh số 14),Phải trả người bán (Thuyết minh số 14),Phải trả người bán (Thuyết minh số 14),Phải trả người bán (Thuyết minh số 14),Phải trả người bán (Thuyết minh số 14),,,
Công ty Cổ phần Transeco,Phải trả người bán (Thuyết minh số 14) > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,7.869.438.155,16.020.369.240,,7869438155.0,16020369240.0
Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Phải trả người bán (Thuyết minh số 14) > Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty con,-,29.423.740.849,,,29423740849.0
,,,,7.869.438.155,45.444.110.089,,7869438155.0,45444110089.0
Người mua trả tiền trước (Thuyết minh số 15),Người mua trả tiền trước (Thuyết minh số 15),Người mua trả tiền trước (Thuyết minh số 15),Người mua trả tiền trước (Thuyết minh số 15),Người mua trả tiền trước (Thuyết minh số 15),Người mua trả tiền trước (Thuyết minh số 15),,,
Công ty TNHH Cụm KCN Khúc,Công ty TNHH Cụm KCN Khúc,Công ty TNHH Cụm KCN Khúc,,,,,,
Xuyên,Công ty TNHH Cụm KCN Khúc > Xuyên,Xuyên,Công ty con,203.667.221.988,-,,203667221988.0,
Công ty TNHH Nutreco,Công ty TNHH Cụm KCN Khúc > Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,105.527.368.201,76.082.010.880,,105527368201.0,76082010880.0
Công ty TNHH Đầu tư và Phát triển,Công ty TNHH Đầu tư và Phát triển,Công ty TNHH Đầu tư và Phát triển,,,,,,
Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển > Chăn nuôi Lợn Dabaco,Chăn nuôi Lợn Dabaco,Công ty con,15.615.680.063,-,,15615680063.0,
Công ty TNHH Lợn giống Lạc Vệ,Công ty TNHH Đầu tư và Phát triển > Công ty TNHH Lợn giống Lạc Vệ,Công ty TNHH Lợn giống Lạc Vệ,Công ty con,10.562.758.432,-,,10562758432.0,
Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty TNHH Đầu tư và Phát triển > Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty liên kết,12.198.000,42.210.000,,12198000.0,42210000.0
,,,,335.385.226.684,76.124.220.880,,335385226684.0,76124220880.0
