row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số phát sinh trong năm > Phát sinh tăng,Số phát sinh trong năm > Phát sinh giảm,Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Thuyết minh,numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số phát sinh trong năm > Phát sinh tăng,numeric__Số phát sinh trong năm > Phát sinh giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ)
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
Vay ngắn hạn ngân hàng,Vay ngắn hạn > Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,19.1,2.516.990.872.807,4.743.709.608.575,(6.123.195.041.173),1.137.505.440.209,191.0,2516990872807.0,4743709608575.0,-6123195041173.0,1137505440209.0
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,19.2,263.048.153.496,432.783.117.086,(341.411.947.681),354.419.322.901,192.0,263048153496.0,432783117086.0,-341411947681.0,354419322901.0
Nợ thuê tài chính dài hạn đến hạn trả,Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,19.3,99.756.814.304,90.395.187.257,(100.176.274.537),89.975.727.024,193.0,99756814304.0,90395187257.0,-100176274537.0,89975727024.0
Trái phiếu đến hạn trả,Vay ngắn hạn > Trái phiếu đến hạn trả,Trái phiếu đến hạn trả,19.5,-,50.000.000.000,-,50.000.000.000,195.0,,50000000000.0,,50000000000.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,,660.000.000,-,(660.000.000),-,,660000000.0,,-660000000.0,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,2.880.455.840.607,5.316.887.912.918,(6.565.443.263.391),1.631.900.490.134,,2880455840607.0,5316887912918.0,-6565443263391.0,1631900490134.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,19.2,992.147.128.300,299.015.530.675,(574.815.813.286),716.346.845.689,192.0,992147128300.0,299015530675.0,-574815813286.0,716346845689.0
Nợ thuê tài chính,Vay dài hạn > Nợ thuê tài chính,Nợ thuê tài chính,19.3,207.529.406.028,1.005.351.411,(90.443.152.024),118.091.605.415,193.0,207529406028.0,1005351411.0,-90443152024.0,118091605415.0
Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay dài hạn > Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,19.4,94.000.000.000,-,-,94.000.000.000,194.0,94000000000.0,,,94000000000.0
Trái phiếu doanh nghiệp,Vay dài hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,19.5,-,300.000.000.000,(50.000.000.000),250.000.000.000,195.0,,300000000000.0,-50000000000.0,250000000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,1.293.676.534.328,600.020.882.086,(715.258.965.310),1.178.438.451.104,,1293676534328.0,600020882086.0,-715258965310.0,1178438451104.0
