row_label_raw,row_label_full,Bên liên quan,Bán hàng,Mua hàng,Chi phí sử dụngtài sản,Lãi vay,Đơn vị tính: VNDLợi nhuận đượcchia,numeric__Bán hàng,numeric__Mua hàng,numeric__Chi phí sử dụngtài sản,numeric__Lãi vay,numeric__Đơn vị tính: VNDLợi nhuận đượcchia
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,154.633.786.215,-,35.510.499.710,4.597.561.188,-,154633786215.0,,35510499710.0,4597561188.0,
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,235.061.923.969,-,697.044.581,-,48.639.519.406,235061923969.0,,697044581.0,,48639519406.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,72.064.578.063,-,312.800.004,-,38.105.746.916,72064578063.0,,312800004.0,,38105746916.0
Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,142.763.637.375,-,22.455.547.009,2.335.551.542,471.752.216.601,142763637375.0,,22455547009.0,2335551542.0,471752216601.0
Công ty TNHH Đầu tư và Phát triển chăn nuôi lợnDabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợnDabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợnDabaco,859.518.929.307,-,-,-,-,859518929307.0,,,,
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,215.703.701.231,216.599.335.000,12.855.494.958,30.604.705.287,-,215703701231.0,216599335000.0,12855494958.0,30604705287.0,
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,930.760.990.737,70.027.350.000,2.937.239.258,-,61.994.556.849,930760990737.0,70027350000.0,2937239258.0,,61994556849.0
Công ty TNHH Lợn giống Hà Nam,Công ty TNHH Lợn giống Hà Nam,Công ty TNHH Lợn giống Hà Nam,9.311.107.191,-,-,-,-,9311107191.0,,,,
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,-,54.220.205.930,531.740.290,8.904.930.036,2.295.232.709,,54220205930.0,531740290.0,8904930036.0,2295232709.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầngDabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầngDabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầngDabaco,-,59.990.918.000,4.979.780.802,1.290.356.593,2.123.778.976,,59990918000.0,4979780802.0,1290356593.0,2123778976.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,-,-,1.221.146.196,-,-,,,1221146196.0,,
Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,120.005.763.217,-,5.445.500.178,691.799.057,1.773.911.238,120005763217.0,,5445500178.0,691799057.0,1773911238.0
Công ty TNHH DL & KS Le' Indochina,Công ty TNHH DL & KS Le' Indochina,Công ty TNHH DL & KS Le' Indochina,-,-,-,5.251.936.322,-,,,,5251936322.0,
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,495.545.677.720,-,5.042.758.086,1.310.677.352,-,495545677720.0,,5042758086.0,1310677352.0,
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,107.167.520.252,-,21.727.917.072,7.549.960.638,36.021.902.051,107167520252.0,,21727917072.0,7549960638.0,36021902051.0
Công ty TNHH Lợn giống Hải Phòng,Công ty TNHH Lợn giống Hải Phòng,Công ty TNHH Lợn giống Hải Phòng,79.492.554.924,-,424.284.852,-,43.635.323.450,79492554924.0,,424284852.0,,43635323450.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,33.375.192.750,-,12.258.389.613,19.124.811.658,64.081.392.517,33375192750.0,,12258389613.0,19124811658.0,64081392517.0
Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,1.200.122.599.395,774.945.855.962,9.778.541.292,27.727.428.606,-,1200122599395.0,774945855962.0,9778541292.0,27727428606.0,
Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,53.061.485.852,1.220.998.280,27.118.170.657,28.175.253.382,-,53061485852.0,1220998280.0,27118170657.0,28175253382.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.708.589.448.198,1.177.004.663.172,163.296.854.558,137.564.971.661,770.423.580.713,4708589448198.0,1177004663172.0,163296854558.0,137564971661.0,770423580713.0
