row_label_raw,row_label_full,Đơn vị tính: VND > Các khoản vay > Các khoản vay ngân hàng bằng VND,Đơn vị tính: VND > Số cuối năm > 1.070.766.168.590,Đơn vị tính: VND > Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 1 năm 2021 đến tháng 1 năm 2029. Lãi vay trả hàng tháng.,"Đơn vị tính: VND > Lãi suất năm > 8,8% - 11,5%",numeric__Đơn vị tính: VND > Số cuối năm > 1.070.766.168.590,numeric__Đơn vị tính: VND > Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 1 năm 2021 đến tháng 1 năm 2029. Lãi vay trả hàng tháng.,"numeric__Đơn vị tính: VND > Lãi suất năm > 8,8% - 11,5%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.070.766.168.590,,,1070766168590.0,,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,354.419.322.901716.346.845.689,,,3.544193229017164e+23,,
