row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.415.677.113.799,865.177.015.568,133.492.265.609,14.986.287.109,2.429.332.682.085,1415677113799.0,865177015568.0,133492265609.0,14986287109.0,2429332682085.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,5.078.062.296,10.668.014.000,86.700.000,15.832.776.296,,5078062296.0,10668014000.0,86700000.0,15832776296.0
Đầu tư xây dựng cơ bản hoàn thanh,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thanh,Đầu tư xây dựng cơ bản hoàn thanh,137.157.480.422,30.023.783.541,-,-,167.181.263.963,137157480422.0,30023783541.0,,,167181263963.0
Phân loại từ tài sản thuê tài chính,Nguyên giá: > Phân loại từ tài sản thuê tài chính,Phân loại từ tài sản thuê tài chính,-,66.291.264.153,-,-,66.291.264.153,,66291264153.0,,,66291264153.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.330.959.833),(4.692.523.730),(9.836.414.117),(504.619.091),(16.364.516.771),-1330959833.0,-4692523730.0,-9836414117.0,-504619091.0,-16364516771.0
Tài sản điều chuyển cho công ty con (*),Nguyên giá: > Tài sản điều chuyển cho công ty con (*),Tài sản điều chuyển cho công ty con (*),(507.357.373.840),(266.387.172.945),(2.909.120.182),(7.800.991.477),(784.454.658.444),-507357373840.0,-266387172945.0,-2909120182.0,-7800991477.0,-784454658444.0
Góp vốn vào công ty con (**),Nguyên giá: > Góp vốn vào công ty con (**),Góp vốn vào công ty con (**),-,(85.787.652.391),-,-,(85.787.652.391),,-85787652391.0,,,-85787652391.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,(1.689.373.412),1.689.373.412,189.107.272,(189.107.272),-,-1689373412.0,1689373412.0,189107272.0,-189107272.0,
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.042.456.887.136,611.392.149.904,131.603.852.582,6.578.269.269,1.792.031.158.891,1042456887136.0,611392149904.0,131603852582.0,6578269269.0,1792031158891.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,14.614.814.442,108.109.343.748,36.730.606.336,4.201.504.397,163.656.268.923,14614814442.0,108109343748.0,36730606336.0,4201504397.0,163656268923.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,303.800.740.687,263.406.333.057,83.768.634.720,7.683.258.963,658.658.967.427,303800740687.0,263406333057.0,83768634720.0,7683258963.0,658658967427.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,69.973.080.910,60.830.821.682,10.674.941.951,201.445.115,141.680.289.658,69973080910.0,60830821682.0,10674941951.0,201445115.0,141680289658.0
Phân loại từ tài sản thuê tài chính,Giá trị khấu hao lũy kế: > Phân loại từ tài sản thuê tài chính,Phân loại từ tài sản thuê tài chính,-,48.726.355.264,-,-,48.726.355.264,,48726355264.0,,,48726355264.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.330.959.833),(4.692.523.730),(8.169.895.122),(504.619.091),(14.697.997.776),-1330959833.0,-4692523730.0,-8169895122.0,-504619091.0,-14697997776.0
Điều chuyển tài sản cho công ty con (*),Giá trị khấu hao lũy kế: > Điều chuyển tài sản cho công ty con (*),Điều chuyển tài sản cho công ty con (*),(26.727.470.570),(15.889.063.907),(309.926.692),(1.029.657.471),(43.956.118.640),-26727470570.0,-15889063907.0,-309926692.0,-1029657471.0,-43956118640.0
Giảm khác (**),Giá trị khấu hao lũy kế: > Giảm khác (**),Giảm khác (**),-,(4.289.382.621),-,-,(4.289.382.621),,-4289382621.0,,,-4289382621.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,345.715.391.194,348.092.539.745,85.963.754.857,6.350.427.516,786.122.113.312,345715391194.0,348092539745.0,85963754857.0,6350427516.0,786122113312.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.111.876.373.112,601.770.682.511,49.723.630.889,7.303.028.146,1.770.673.714.658,1111876373112.0,601770682511.0,49723630889.0,7303028146.0,1770673714658.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,696.741.495.942,263.299.610.159,45.640.097.725,227.841.753,1.005.909.045.579,696741495942.0,263299610159.0,45640097725.0,227841753.0,1005909045579.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Tài sản sử dụng để thế chấp (***),Trong đó: > Tài sản sử dụng để thế chấp (***),Tài sản sử dụng để thế chấp (***),292.852.302.135,142.819.990.386,14.070.723.967,-,449.743.016.488,292852302135.0,142819990386.0,14070723967.0,,449743016488.0
