row_label_raw,row_label_full,Loại phát hànhtheo mệnh giá,Số cuối năm(VND) > 300.000.000.000,"Kỳ hạn trả gốc và lãi > Trái phiếu có kỳ hạn 36 tháng kểử ngày phát hành, đáo hạn vàonăm 2023","Lãi suất > 10,1%",numeric__Số cuối năm(VND) > 300.000.000.000,"numeric__Kỳ hạn trả gốc và lãi > Trái phiếu có kỳ hạn 36 tháng kểử ngày phát hành, đáo hạn vàonăm 2023","numeric__Lãi suất > 10,1%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,300.000.000.000,,,300000000000.0,,
Trong đó:Trái phiếu đếnhạn trảTrái phiếu dài hạn,Trong đó:Trái phiếu đếnhạn trảTrái phiếu dài hạn,Trong đó:Trái phiếu đếnhạn trảTrái phiếu dài hạn,50.000.000.000250.000.000.000,,,5.000000000025e+22,,
