row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Đơn vị tính: VND > Số đã nộp/cán trừ trong năm,Đơn vị tính: VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Đơn vị tính: VND > Số đã nộp/cán trừ trong năm,numeric__Đơn vị tính: VND > Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,88.653.043.018,(88.653.043.018),-,,88653043018.0,-88653043018.0,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,8.795.557.423,32.639.891.795,(20.820.941.109),20.614.508.109,8795557423.0,32639891795.0,-20820941109.0,20614508109.0
Thuế nhập khẩu,Phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,3.565.169.806,(3.565.169.806),-,,3565169806.0,-3565169806.0,
Tiền sử dụng đất,Phải nộp > Tiền sử dụng đất,Tiền sử dụng đất,2.235.663.100,191.854.107.543,(194.007.663.643),82.107.000,2235663100.0,191854107543.0,-194007663643.0,82107000.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,-,3.085.249.650,(3.085.249.650),-,,3085249650.0,-3085249650.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,11.031.220.523,319.797.461.812,(310.132.067.226),20.696.615.109,11031220523.0,319797461812.0,-310132067226.0,20696615109.0
,,,Số đầu năm,Số kê khai trong năm,Số đã cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,66.417.676.244,46.699.028.391,(86.693.776.098),26.422.928.537,66417676244.0,46699028391.0,-86693776098.0,26422928537.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,66.417.676.244,46.699.028.391,(86.693.776.098),26.422.928.537,66417676244.0,46699028391.0,-86693776098.0,26422928537.0
