row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,464.573.055.914,287.573.048.187,464573055914.0,287573048187.0
- Enerfo Pte Ltd (Singapore),- Enerfo Pte Ltd (Singapore),- Enerfo Pte Ltd (Singapore),186.413.855.355,-,186413855355.0,
- Louis Dreyfus Company Asia Pte Ltd,- Louis Dreyfus Company Asia Pte Ltd,- Louis Dreyfus Company Asia Pte Ltd,53.026.575.000,-,53026575000.0,
- Crossland Marketing (2000) Pte Ltd,- Crossland Marketing (2000) Pte Ltd,- Crossland Marketing (2000) Pte Ltd,43.396.510.000,-,43396510000.0,
- Peter Cremer Canada Ltd,- Peter Cremer Canada Ltd,- Peter Cremer Canada Ltd,-,99.781.000.000,,99781000000.0
- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,-,42.261.177.500,,42261177500.0
- Cargill,- Cargill,- Cargill,-,74.207.542.500,,74207542500.0
- CJ International Asia Pte Ltd,- CJ International Asia Pte Ltd,- CJ International Asia Pte Ltd,-,52.424.604.935,,52424604935.0
- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,181.736.115.559,18.898.723.252,181736115559.0,18898723252.0
Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,254.072.721.317,275.114.606.777,254072721317.0,275114606777.0
Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 28),Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 28),Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 28),7.869.438.155,45.444.110.089,7869438155.0,45444110089.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,726.515.215.386,608.131.765.053,726515215386.0,608131765053.0
