row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Đơn vị tính: VND Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Đơn vị tính: VND Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1)
Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty con,542.328.921.297,696.111.301.519,,542328921297.0,696111301519.0
Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty con,118.632.417.883,449.662.627.653,,118632417883.0,449662627653.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,-,349.280.460.395,,,349280460395.0
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty con,356.369.041.388,280.236.828.543,,356369041388.0,280236828543.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,120.059.961.132,268.707.199.636,,120059961132.0,268707199636.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,202.406.583.656,225.074.608.772,,202406583656.0,225074608772.0
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,18.142.393.138,165.561.920.348,,18142393138.0,165561920348.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,125.133.648.893,126.106.022.362,,125133648893.0,126106022362.0
Công ty TNHH Lợn giống Lương Tài Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Lương Tài Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Lương Tài Công ty TNHH Lợn giống Dabaco,Công ty con,16.626.195.523,120.430.906.563,,16626195523.0,120430906563.0
Hà Nam,Hà Nam,Hà Nam,Công ty con,158.277.889.902,116.215.933.397,,158277889902.0,116215933397.0
Công ty Lợn giống Hải Phòng,Công ty Lợn giống Hải Phòng,Công ty Lợn giống Hải Phòng,Công ty con,72.140.564.541,75.214.590.018,,72140564541.0,75214590018.0
Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty con,-,45.402.493.667,,,45402493667.0
Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty con,249.582.794,14.610.931.122,,249582794.0,14610931122.0
Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty con,-,2.534.105.589,,,2534105589.0
Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty con,105.193.360.280,1.454.660.797,,105193360280.0,1454660797.0
Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty con,-,745.434.452,,,745434452.0
