row_label_raw,row_label_full,Nhà cửa và vật kiến trúc,8 - 25,numeric__8 - 25
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,3 - 15,
Thiết bị quản lý,Thiết bị quản lý,Thiết bị quản lý,3 - 10,
Phương tiện vận tải,Thiết bị quản lý > Phương tiện vận tải,Phương tiện vận tải,6,6.0
