row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.261.597.240.000,(300.150.000),389.798.534.033,749.470.850.358,3.400.566.474.391,2261597240000.0,-300150000.0,389798534033.0,749470850358.0,3400566474391.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.399.342.441.291,1.399.342.441.291,,,,1399342441291.0,1399342441291.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,(226.129.709.000),(226.129.709.000),,,,-226129709000.0,-226129709000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,226.127.600.000,-,-,(226.127.600.000),-,226127600000.0,,,-226127600000.0,
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,209.803.363.366,(209.803.363.366),-,,,209803363366.0,-209803363366.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,(139.868.908.911),(139.868.908.911),,,,-139868908911.0,-139868908911.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(16.746.475.595),(16.746.475.595),,,,-16746475595.0,-16746475595.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.487.724.840.000,(300.150.000),599.601.897.399,1.330.137.234.777,4.417.163.822.176,2487724840000.0,-300150000.0,599601897399.0,1330137234777.0,4417163822176.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.503.239.050.754,1.503.239.050.754,,,,1503239050754.0,1503239050754.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,(1.318.334.276.000),(1.318.334.276.000),,,,-1318334276000.0,-1318334276000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,248.739.770.000,-,-,(248.739.770.000),-,248739770000.0,,,-248739770000.0,
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,225.171.467.068,(225.171.467.068),-,,,225171467068.0,-225171467068.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,(150.114.311.379),(150.114.311.379),,,,-150114311379.0,-150114311379.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(83.262.538.736),(83.262.538.736),,,,-83262538736.0,-83262538736.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.736.464.610.000,(300.150.000),824.773.364.467,807.753.922.348,4.368.691.746.815,2736464610000.0,-300150000.0,824773364467.0,807753922348.0,4368691746815.0
