row_label_raw,row_label_full,col_0,Theo Giấy chứng nhận đăng ký doanh nghiệp sửa đổi,Theo Giấy chứng nhận đăng ký doanh nghiệp sửa đổi_1,Số lượng cổ phiếu tương ứng với vốn đã góp,Số lượng cổ phiếu tương ứng với vốn đã góp_1,Số lượng cổ phiếu tương ứng với vốn đã góp_2,Số lượng cổ phiếu tương ứng với vốn đã góp_3,numeric__Theo Giấy chứng nhận đăng ký doanh nghiệp sửa đổi,numeric__Theo Giấy chứng nhận đăng ký doanh nghiệp sửa đổi_1,numeric__Số lượng cổ phiếu tương ứng với vốn đã góp,numeric__Số lượng cổ phiếu tương ứng với vốn đã góp_1,numeric__Số lượng cổ phiếu tương ứng với vốn đã góp_2,numeric__Số lượng cổ phiếu tương ứng với vốn đã góp_3
,,,Theo Giấy chứng nhận đăng ký doanh nghiệp sửa đổi,Theo Giấy chứng nhận đăng ký doanh nghiệp sửa đổi,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
,,,Số lượng cổ phiếu,%,Số lượng cổ phiếu,%,Số lượng cổ phiếu,%,,,,,,
1. Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước - Công ty TNHH,1. Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước - Công ty TNHH,1. Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước - Công ty TNHH,137.285.018,"50,17",137.285.018,"50,17",124.804.562,"50,17",137285018.0,50.17,137285018.0,50.17,124804562.0,50.17
2. Công ty Cổ phần FPT,2. Công ty Cổ phần FPT,2. Công ty Cổ phần FPT,124.922.882,"45,65",124.922.882,"45,65",113.566.257,"45,65",124922882.0,45.65,124922882.0,45.65,113566257.0,45.65
3. Các cổ đông khác,3. Các cổ đông khác,3. Các cổ đông khác,11.438.561,"4,18",11.408.546,"4,17",10.371.650,"4,17",11438561.0,4.18,11408546.0,4.17,10371650.0,4.17
,,,273.646.461,"100,00",273.616.446,"99,99",248.742.469,"99,99",273646461.0,100.0,273616446.0,99.99,248742469.0,99.99
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,-,-,30.015,"0,01",30.015,"0,01",,,30015.0,0.01,30015.0,0.01
,,,273.646.461,"100,00",273.646.461,"100,00",248.772.484,"100,00",273646461.0,100.0,273646461.0,100.0,248772484.0,100.0
