row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,10.574.334.839.720,7.902.187.890.195,,300.0,,10574334839720.0,7902187890195.0
I.,I.,I.,Nợ ngắn hạn,310,,10.365.388.910.155,7.604.209.172.180,,310.0,,10365388910155.0,7604209172180.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,1.422.797.024.892,1.232.300.227.071,,311.0,15.0,1422797024892.0,1232300227071.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,-,3.876.688.026,,312.0,,,3876688026.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,11,158.159.546.407,94.805.052.486,,313.0,11.0,158159546407.0,94805052486.0
4.,4.,4.,Phải trả người lao động,314,,798.858.443.112,1.464.530.411,,314.0,,798858443112.0,1464530411.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,16,243.347.787.019,496.890.292.447,,315.0,16.0,243347787019.0,496890292447.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,1.068.941.412.072,1.176.893.362.188,,318.0,,1068941412072.0,1176893362188.0
7.,7.,7.,Phải trả ngắn hạn khác,319,17,993.792.756.346,370.330.193.373,,319.0,17.0,993792756346.0,370330193373.0
8.,8.,8.,Vay ngắn hạn,320,18,5.526.215.933.386,4.076.639.400.670,,320.0,18.0,5526215933386.0,4076639400670.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,20,153.276.006.921,151.009.425.508,,322.0,20.0,153276006921.0,151009425508.0
II.,II.,II.,Nợ dài hạn,330,,208.945.929.565,297.978.718.015,,330.0,,208945929565.0,297978718015.0
1.,1.,1.,Phải trả dài hạn khác,337,,1.108.633.334,202.000.000,,337.0,,1108633334.0,202000000.0
2.,2.,2.,Vay dài hạn,338,19,207.837.296.231,297.776.718.015,,338.0,19.0,207837296231.0,297776718015.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,4.368.691.746.815,4.417.163.822.176,,400.0,,4368691746815.0,4417163822176.0
I.,I.,I.,Vốn chủ sở hữu,410,21,4.368.691.746.815,4.417.163.822.176,,410.0,21.0,4368691746815.0,4417163822176.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,2.736.464.610.000,2.487.724.840.000,,411.0,,2736464610000.0,2487724840000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.736.464.610.000,2.487.724.840.000,,,,2736464610000.0,2487724840000.0
2.,2.,2.,Cổ phiếu quỹ,415,,(300.150.000),(300.150.000),,415.0,,-300150000.0,-300150000.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,824.773.364.467,599.601.897.399,,418.0,,824773364467.0,599601897399.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,807.753.922.348,1.330.137.234.777,,421.0,,807753922348.0,1330137234777.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,500.793.988.041,280.467.065.763,,,,500793988041.0,280467065763.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,306.959.934.307,1.049.670.169.014,,,,306959934307.0,1049670169014.0
