row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,8.183.066.013.546,5.772.631.586.494,,100.0,,8183066013546.0,5772631586494.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,24.149.309.585,99.333.567.324,,110.0,4.0,24149309585.0,99333567324.0
1.,1.,1.,Tiền,111,,23.085.118.608,97.180.728.923,,111.0,,23085118608.0,97180728923.0
2.,2.,2.,Các khoản tương đương tiền,112,,1.064.190.977,2.152.838.401,,112.0,,1064190977.0,2152838401.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,100.000.000,-,,120.0,5.0,100000000.0,
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,100.000.000,-,,123.0,,100000000.0,
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,7.130.453.981.126,4.558.831.808.630,,130.0,,7130453981126.0,4558831808630.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,1.442.884.108.401,940.433.667.879,,131.0,6.0,1442884108401.0,940433667879.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,4.076.422.752,41.451.010.510,,132.0,,4076422752.0,41451010510.0
3.,3.,3.,Phải thu ngắn hạn khác,136,7,5.982.316.517.178,3.806.924.043.360,,136.0,7.0,5982316517178.0,3806924043360.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,8,(298.823.067.205),(229.976.913.119),,137.0,8.0,-298823067205.0,-229976913119.0
IV.,IV.,IV.,Hàng tồn kho,140,9,583.889.585.351,578.923.514.170,,140.0,9.0,583889585351.0,578923514170.0
1.,1.,1.,Hàng tồn kho,141,,653.607.227.458,609.202.749.247,,141.0,,653607227458.0,609202749247.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(69.717.642.107),(30.279.235.077),,149.0,,-69717642107.0,-30279235077.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,444.473.137.484,535.542.696.370,,150.0,,444473137484.0,535542696370.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,428.415.558.326,508.408.558.838,,151.0,10.0,428415558326.0,508408558838.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,6.465.402.516,17.663.625.241,,152.0,,6465402516.0,17663625241.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,11,9.592.176.642,9.470.512.291,,153.0,11.0,9592176642.0,9470512291.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,6.759.960.572.989,6.546.720.125.877,,200.0,,6759960572989.0,6546720125877.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,4.536.215.915,4.140.415.915,,210.0,,4536215915.0,4140415915.0
1.,1.,1.,Phải thu dài hạn khác,216,,4.536.215.915,4.140.415.915,,216.0,,4536215915.0,4140415915.0
II.,II.,II.,Tài sản cố định,220,,4.728.133.014.887,4.641.164.888.985,,220.0,,4728133014887.0,4641164888985.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,4.138.757.917.214,4.016.770.456.180,,221.0,12.0,4138757917214.0,4016770456180.0
,,,- Nguyên giá,222,,8.229.534.776.458,7.672.555.323.545,,222.0,,8229534776458.0,7672555323545.0
,,,- Giá trị hao mòn lũy kế,223,,(4.090.776.859.244),(3.655.784.867.365),,223.0,,-4090776859244.0,-3655784867365.0
2.,2.,2.,Tài sản cố định vô hình,227,13,589.375.097.673,624.394.432.805,,227.0,13.0,589375097673.0,624394432805.0
,,,- Nguyên giá,228,,918.386.894.812,892.898.548.569,,228.0,,918386894812.0,892898548569.0
,,,- Giá trị hao mòn lũy kế,229,,(329.011.797.139),(268.504.115.764),,229.0,,-329011797139.0,-268504115764.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,191.333.278.013,101.628.826.244,,240.0,,191333278013.0,101628826244.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,191.333.278.013,101.628.826.244,,242.0,14.0,191333278013.0,101628826244.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,471.426.317.955,471.226.317.955,,250.0,5.0,471426317955.0,471226317955.0
1.,1.,1.,Đầu tư vào công ty con,251,,465.226.317.955,465.226.317.955,,251.0,,465226317955.0,465226317955.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,6.000.000.000,6.000.000.000,,253.0,,6000000000.0,6000000000.0
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,255,,200.000.000,-,,255.0,,200000000.0,
V.,V.,V.,Tài sản dài hạn khác,260,,1.364.531.746.219,1.328.559.676.778,,260.0,,1364531746219.0,1328559676778.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,1.338.591.227.254,1.328.559.676.778,,261.0,10.0,1338591227254.0,1328559676778.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,25.940.518.965,-,,262.0,,25940518965.0,
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,14.943.026.586.535,12.319.351.712.371,,270.0,,14943026586535.0,12319351712371.0
