row_label_raw,row_label_full,STT > 1 > 2,Họ tên > Hoàng Nam Tiến > Chu Thị Thanh Hà,Chức danh > Chủ tịch (bố nhiệm ngày 03 tháng 3 năm 2020) > Chủ tịch (miễn nhiệm ngày 03 tháng 3 năm 2020),Năm nay > -,numeric__Họ tên > Hoàng Nam Tiến > Chu Thị Thanh Hà,numeric__Chức danh > Chủ tịch (bố nhiệm ngày 03 tháng 3 năm 2020) > Chủ tịch (miễn nhiệm ngày 03 tháng 3 năm 2020),numeric__Năm nay > -
,,,,Thành viên,-,,,
3,3,3,Trương Gia Bình,Thành viên,-,,,
4,3 > 4,4,Lê Ngọc Diệp,Thành viên,60.000.000,,,60000000.0
5,5,5,Nguyễn Văn Khoa,Thành viên,-,,,
6,5 > 6,6,Phạm Công Minh,Thành viên,60.000.000,,,60000000.0
7,7,7,Bùi Quang Ngọc,Thành viên (miễn nhiệm ngày 03 tháng 3 năm 2020),-,,,
Tổng cộng,7 > Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,120.000.000,,,120000000.0
