row_label_raw,row_label_full,col_0,col_1,Số đầu năm,Số đầu năm_1,Trong năm,Trong năm_1,Số cuối năm,Số cuối năm_1,numeric__col_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Trong năm,numeric__Trong năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
,,,,Giá trị,Số có khả năngtrả nợ,Tăng,Giảm,Giá trị,Số có khả năngtrả nợ,,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.874.418.646.390,3.874.418.646.390,7.201.563.745.871,5.872.813.013.884,5.203.169.378.377,5.203.169.378.377,,3874418646390.0,3874418646390.0,7201563745871.0,5872813013884.0,5203169378377.0,5203169378377.0
Nợ dài hạn đến hạn trả(xem Thuyết minh số 19),Nợ dài hạn đến hạn trả(xem Thuyết minh số 19),Nợ dài hạn đến hạn trả(xem Thuyết minh số 19),Nợ dài hạn đến hạn trả(xem Thuyết minh số 19),202.220.754.280,202.220.754.280,323.046.555.009,202.220.754.280,323.046.555.009,323.046.555.009,,202220754280.0,202220754280.0,323046555009.0,202220754280.0,323046555009.0,323046555009.0
,,,,4.076.639.400.670,4.076.639.400.670,7.524.610.300.880,6.075.033.768.164,5.526.215.933.386,5.526.215.933.386,,4076639400670.0,4076639400670.0,7524610300880.0,6075033768164.0,5526215933386.0,5526215933386.0
19.,19.,19.,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,,,,,,,
,,,,Số đầu năm,Số đầu năm,Trong năm,Trong năm,Số cuối năm,Số cuối năm,,,,,,,
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
,,,,Giá trị,Số có khả năngtrả nợ,Tăng,Giảm,Giá trị,Số có khả năngtrả nợ,,,,,,,
Vay dài hạn,19. > Vay dài hạn,Vay dài hạn,Vay dài hạn,499.997.472.295,499.997.472.295,233.107.133.225,202.220.754.280,530.883.851.240,530.883.851.240,,499997472295.0,499997472295.0,233107133225.0,202220754280.0,530883851240.0,530883851240.0
,,,,499.997.472.295,499.997.472.295,233.107.133.225,202.220.754.280,530.883.851.240,530.883.851.240,,499997472295.0,499997472295.0,233107133225.0,202220754280.0,530883851240.0,530883851240.0
Trong đó:- Số phải trả trongvòng 12 tháng,19. > Trong đó:- Số phải trả trongvòng 12 tháng,Trong đó:- Số phải trả trongvòng 12 tháng,Trong đó:- Số phải trả trongvòng 12 tháng,202.220.754.280,,,,323.046.555.009,,,202220754280.0,,,,323046555009.0,
- Số phải trả sau12 tháng,19. > - Số phải trả sau12 tháng,- Số phải trả sau12 tháng,- Số phải trả sau12 tháng,297.776.718.015,,,,207.837.296.231,,,297776718015.0,,,,207837296231.0,
