row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiện vântảiTriệu VND,Thiết bị dụng cụquản lýTriệu VND,Tài sản cố địnhhửu hình khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiện vântảiTriệu VND,numeric__Thiết bị dụng cụquản lýTriệu VND,numeric__Tài sản cố địnhhửu hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,444.334,224.850,188.782,311.201,1.059,1.170.226,444334.0,224850.0,188782.0,311201.0,1059.0,1170226.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,203.257,11.755,15.853,108.314,603,339.782,203257.0,11755.0,15853.0,108314.0,603.0,339782.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.460),(5.023),(6.598),(12.700),-,(31.781),-7460.0,-5023.0,-6598.0,-12700.0,,-31781.0
(Giảm)/Tăng khác,Nguyên giá > (Giảm)/Tăng khác,(Giảm)/Tăng khác,(114),48,-,335,-,269,-114.0,48.0,,335.0,,269.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,640.017,231.630,198.037,407.150,1.662,1.478.496,640017.0,231630.0,198037.0,407150.0,1662.0,1478496.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,166.761,201.896,131.874,205.985,70,706.586,166761.0,201896.0,131874.0,205985.0,70.0,706586.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.151,2.779,10.526,35.059,115,72.630,24151.0,2779.0,10526.0,35059.0,115.0,72630.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.401),(4.984),(6.301),(12.292),-,(29.978),-6401.0,-4984.0,-6301.0,-12292.0,,-29978.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,184.511,199.691,136.099,228.752,185,749.238,184511.0,199691.0,136099.0,228752.0,185.0,749238.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,277.573,22.954,56.908,105.216,989,463.640,277573.0,22954.0,56908.0,105216.0,989.0,463640.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,455.506,31.939,61.938,178.398,1.477,729.258,455506.0,31939.0,61938.0,178398.0,1477.0,729258.0
