row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,17,1.333.658,9.715.193,,17.0,1333658.0,9715193.0
1.,B. > 1.,1.,"Tiền gửi và vay Chính phủ, NHNN",,1.333.658,9.715.193,,,1333658.0,9715193.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,18,69.323.647,76.827.185,,18.0,69323647.0,76827185.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,63.843.443,71.414.288,,,63843443.0,71414288.0
2.,B. > 2.,2.,Vay các TCTD khác,,5.480.204,5.412.897,,,5480204.0,5412897.0
III.,B. > III.,III.,Tiền gửi của khách hàng,19,444.627.843,358.448.316,,19.0,444627843.0,358448316.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,10,97.152,-,,10.0,97152.0,
V.,B. > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,1.611.235,1.615.605,,20.0,1611235.0,1615605.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,21,42.821.727,34.675.908,,21.0,42821727.0,34675908.0
VII.,B. > VII.,VII.,Các khoản nợ khác,22,15.966.433,11.341.152,,22.0,15966433.0,11341152.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,13.953.991,8.907.088,,,13953991.0,8907088.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,,2.012.442,2.434.064,,,2012442.0,2434064.0
TỔNG NỘ PHẢI TRẢ,B. > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,575.781.695,492.623.359,,,575781695.0,492623359.0
VIII.,B. > VIII.,VIII.,Vốn và các quỹ,24,49.872.913,42.677.471,,24.0,49872913.0,42677471.0
1.,B. > 1.,1.,Vốn của TCTD,,37.638.324,32.118.175,,,37638324.0,32118175.0
a.,B. > a.,a.,Vốn điều lệ,,36.193.981,30.673.832,,,36193981.0,30673832.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,1.449.603,1.449.603,,,1449603.0,1449603.0
d.,B. > d.,d.,Cổ phiếu quỹ,,(5.260),(5.260),,,-5260.0,-5260.0
2.,B. > 2.,2.,Quỹ của TCTD,,5.080.327,3.982.317,,,5080327.0,3982317.0
3.,B. > 3.,3.,Lợi nhuận sau thuế chưa phân phối,,7.154.262,6.576.979,,,7154262.0,6576979.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,625.654.608,535.300.830,,,625654608.0,535300830.0
