row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,Tiền mặt,5,1.324.728,1.822.415,,5.0,1324728.0,1822415.0
II.,A. > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",6,53.367.977,13.917.545,,6.0,53367977.0,13917545.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,71.532.886,74.177.483,,7.0,71532886.0,74177483.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,62.809.863,63.813.306,,,62809863.0,63813306.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,8.841.433,10.463.971,,,8841433.0,10463971.0
3.,A. > 3.,3.,Dự phòng rủi ro cho vay các TCTD khác,8,(118.410),(99.794),,8.0,-118410.0,-99794.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,9,7.790.402,-,,9.0,7790402.0,
1.,A. > 1.,1.,Chứng khoán kinh doanh,,7.849.272,-,,,7849272.0,
2.,A. > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(58.870),-,,,-58870.0,
V.,A. > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,10,-,269.772,,10.0,,269772.0
VI.,A. > VI.,VI.,Cho vay khách hàng,,415.915.509,358.696.908,,,415915509.0,358696908.0
1.,A. > 1.,1.,Cho vay khách hàng,11,424.701.173,365.046.921,,11.0,424701173.0,365046921.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,12,(8.785.664),(6.350.013),,12.0,-8785664.0,-6350013.0
VII.,A. > VII.,VII.,Chứng khoán đầu tư,13,32.063.660,32.954.676,,13.0,32063660.0,32954676.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,13.1,14.373.759,12.988.616,,131.0,14373759.0,12988616.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,17.833.636,20.063.662,,132.0,17833636.0,20063662.0
3.,A. > 3.,3.,Dự phòng giảm giá chứng khoán đầu tư,13.4,(143.735),(97.602),,134.0,-143735.0,-97602.0
VIII.,A. > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",14,3.615.216,4.045.723,,14.0,3615216.0,4045723.0
1.,A. > 1.,1.,Đầu tư vào công ty con,14.1,3.043.940,3.999.024,,141.0,3043940.0,3999024.0
2.,A. > 2.,2.,Các khoản đầu tư vào công ty liên kết,14.2,500.000,-,,142.0,500000.0,
3.,A. > 3.,3.,Đầu tư dài hạn khác,14.3,158.272,158.272,,143.0,158272.0,158272.0
4.,A. > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,14.4,(86.996),(111.573),,144.0,-86996.0,-111573.0
IX.,A. > IX.,IX.,Tài sản cố định,15,5.223.696,4.904.519,,15.0,5223696.0,4904519.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,15.1,729.258,463.640,,151.0,729258.0,463640.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,1.478.496,1.170.226,,,1478496.0,1170226.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(749.238),(706.586),,,-749238.0,-706586.0
2.,A. > 2.,2.,Tài sản cố định vô hình,15.2,4.494.438,4.440.879,,152.0,4494438.0,4440879.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,4.820.565,4.743.056,,,4820565.0,4743056.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(326.127),(302.177),,,-326127.0,-302177.0
X.,A. > X.,X.,Tài sản Có khác,16,34.820.534,44.511.789,,16.0,34820534.0,44511789.0
1.,A. > 1.,1.,Các khoản phải thu,,18.109.014,28.454.846,,,18109014.0,28454846.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,13.552.896,15.231.627,,,13552896.0,15231627.0
3.,A. > 3.,3.,Tài sản Có khác,16.3,3.240.147,944.715,,163.0,3240147.0,944715.0
4.,A. > 4.,4.,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,16.5,(81.523),(119.399),,165.0,-81523.0,-119399.0
TỔNG TÀI SẢN CÓ,A. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,625.654.608,535.300.830,,,625654608.0,535300830.0
