row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,30.673.832,1.449.603,(5.260),23.551,2.652.362,1.305.382,1.022,6.576.979,42.677.471,30673832.0,1449603.0,-5260.0,23551.0,2652362.0,1305382.0,1022.0,6576979.0,42677471.0
Phát hành cổ phiếu đề chi trả cổ tức (Thuyết minh số 24.4),Phát hành cổ phiếu đề chi trả cổ tức (Thuyết minh số 24.4),Phát hành cổ phiếu đề chi trả cổ tức (Thuyết minh số 24.4),5.520.149,-,-,,-,-,-,(5.520.149),-,5520149.0,,,,,,,-5520149.0,
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,,-,-,-,7.320.076,7.320.076,,,,,,,,7320076.0,7320076.0
Trích quỹ khen thưởng phúc lợi (i),Trích quỹ khen thưởng phúc lợi (i),Trích quỹ khen thưởng phúc lợi (i),-,-,-,-,-,-,-,(105.000),(105.000),,,,,,,,-105000.0,-105000.0
Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,-,-,-,,732.007,366.003,-,(1.098.010),-,,,,,732007.0,366003.0,,-1098010.0,
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,,-,-,-,(19.634),(19.634),,,,,,,,-19634.0,-19634.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,36.193.981,1.449.603,(5.260),23.551,3.384.369,1.671.385,1.022,7.154.262,49.872.913,36193981.0,1449603.0,-5260.0,23551.0,3384369.0,1671385.0,1022.0,7154262.0,49872913.0
