row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Các khoản lãi và phí phải trả,Các khoản lãi và phí phải trả,Các khoản lãi và phí phải trả,13.953.991,8.907.088,13953991.0,8907088.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,2.012.442,2.434.064,2012442.0,2434064.0
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,19.376,46.797,19376.0,46797.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,1.848.392,2.339.804,1848392.0,2339804.0
Trong đó:,Trong đó:,Trong đó:,,,,
- Thuế và các khoản phải trả cho Ngân sách Nhà nước(Thuyết minh số 23),Trong đó: > - Thuế và các khoản phải trả cho Ngân sách Nhà nước(Thuyết minh số 23),- Thuế và các khoản phải trả cho Ngân sách Nhà nước(Thuyết minh số 23),1.173.018,1.758.398,1173018.0,1758398.0
- Phải trả về trung gian thanh toán và nợ phải trả khác,Trong đó: > - Phải trả về trung gian thanh toán và nợ phải trả khác,- Phải trả về trung gian thanh toán và nợ phải trả khác,219.209,61.272,219209.0,61272.0
- Các khoản phải trả khác,Trong đó: > - Các khoản phải trả khác,- Các khoản phải trả khác,456.165,520.134,456165.0,520134.0
"Quỹ khen thưởng, phúc lợi","Trong đó: > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",144.674,47.463,144674.0,47463.0
,,,15.966.433,11.341.152,15966433.0,11341152.0
