row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
1.,1.,1.,Bảo lãnh vay vốn,39,55.050,23.856,,39.0,55050.0,23856.0
2.,2.,2.,Cam kết giao dịch hồi đoái,39,15.454.640,38.872.143,,39.0,15454640.0,38872143.0
2.,2.,2.,Cam kết mua ngoại tệ,,805.070,6.324.654,,,805070.0,6324654.0
2.,2.,2.,Cam kết bản ngoại tệ,,814.380,3.074.583,,,814380.0,3074583.0
2.,2.,2.,Cam kết giao dịch hoán đối,,13.835.190,29.472.906,,,13835190.0,29472906.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,39,4.966.374,19.086.422,,39.0,4966374.0,19086422.0
4.,4.,4.,Bảo lãnh khác,39,18.218.773,15.764.545,,39.0,18218773.0,15764545.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,40,10.014.387,6.656.293,,40.0,10014387.0,6656293.0
7.,7.,7.,Nợ khó đòi đã xử lý,41,33.465.181,29.095.095,,41.0,33465181.0,29095095.0
8.,8.,8.,Tài sản và chứng từ khác,42,2.530.117,2.392.588,,42.0,2530117.0,2392588.0
