row_label_raw,row_label_full,Chỉ tiêu trên Báo cáo tình hình tài chính,Số đầu năm(Số liệu đã báo cáo) > Triệu VND,Số điều chỉnh (*) > Triệu VND,Số đầu năm(Trình bày lại),numeric__Số đầu năm(Số liệu đã báo cáo) > Triệu VND,numeric__Số điều chỉnh (*) > Triệu VND,numeric__Số đầu năm(Trình bày lại)
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,36.930.881,(8.476.035),28.454.846,36930881.0,-8476035.0,28454846.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,10.910.099,(8.476.035),2.434.064,10910099.0,-8476035.0,2434064.0
Chỉ tiêu Ngoài báo cáo tình hình tài chính,Chỉ tiêu Ngoài báo cáo tình hình tài chính,Chỉ tiêu Ngoài báo cáo tình hình tài chính,Số đầu năm(Số liệu đã báo cáo),Số điều chỉnh,Số đầu năm(Trình bày lại),,,
Chỉ tiêu Ngoài báo cáo tình hình tài chính,Chỉ tiêu Ngoài báo cáo tình hình tài chính,Chỉ tiêu Ngoài báo cáo tình hình tài chính,Triệu VND,Triệu VND,,,,
Nợ khó đòi đã xử lý,Chỉ tiêu Ngoài báo cáo tình hình tài chính > Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,27.360.794,1.734.301,29.095.095,27360794.0,1734301.0,29095095.0
