row_label_raw,row_label_full,col_0,Không chịu lãi,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,Tổng,numeric__Không chịu lãi,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5,numeric__Tổng
,,,Không chịu lãi,Trên 03 tháng,Đến 03 tháng,Đến 01 tháng,Từ 01-03 tháng,Từ 03-06 tháng,Từ 06 -12 tháng,Từ 01-05 năm,Trên 05 năm,Tổng,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,1.324.728,-,-,-,-,-,-,-,-,1.324.728,1324728.0,,,,,,,,,1324728.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,53.367.977,-,-,-,-,-,-,-,-,53.367.977,53367977.0,,,,,,,,,53367977.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,-,55.328.482,10.795.937,5.408.467,-,118.410,-,71.651.296,,,,55328482.0,10795937.0,5408467.0,,118410.0,,71651296.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,5.200.730,2.648.542,-,-,-,7.849.272,,,,,5200730.0,2648542.0,,,,7849272.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,12.633.258,8.444.832,145.563.867,229.266.503,11.419.691,8.211.669,6.595.717,2.565.636,424.701.173,,12633258.0,8444832.0,145563867.0,229266503.0,11419691.0,8211669.0,6595717.0,2565636.0,424701173.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),29.454,526.536,-,-,3.181.108,6.356.597,-,1.903.871,20.209.829,32.207.395,29454.0,526536.0,,,3181108.0,6356597.0,,1903871.0,20209829.0,32207395.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",3.702.212,-,-,-,-,-,-,-,-,3.702.212,3702212.0,,,,,,,,,3702212.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,5.223.696,-,-,-,-,-,-,-,-,5.223.696,5223696.0,,,,,,,,,5223696.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,24.763.821,34.211,-,774.229,2.533.798,3.255.168,3.540.830,-,-,34.902.057,24763821.0,34211.0,,774229.0,2533798.0,3255168.0,3540830.0,,,34902057.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,88.411.888,13.194.005,8.444.832,201.666.578,250.978.076,29.088.465,11.752.499,8.617.998,22.775.465,634.929.806,88411888.0,13194005.0,8444832.0,201666578.0,250978076.0,29088465.0,11752499.0,8617998.0,22775465.0,634929806.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,10.077,78.485,1.245.096,-,-,1.333.658,,,,,10077.0,78485.0,1245096.0,,,1333658.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,49.684.360,12.068.107,3.337.711,3.762.760,469.548,1.161,69.323.647,,,,49684360.0,12068107.0,3337711.0,3762760.0,469548.0,1161.0,69323647.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,101.978.333,90.693.937,114.745.327,79.979.976,57.230.139,131,444.627.843,,,,101978333.0,90693937.0,114745327.0,79979976.0,57230139.0,131.0,444627843.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,97.152,-,-,-,-,-,-,-,-,97.152,97152.0,,,,,,,,,97152.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,1.768,37.324,51.557,345.232,597.774,577.580,1.611.235,,,,1768.0,37324.0,51557.0,345232.0,597774.0,577580.0,1611235.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,4.994.764,8.815.984,11.092.093,15.470.771,15,2.448.100,42.821.727,,,,4994764.0,8815984.0,11092093.0,15470771.0,15.0,2448100.0,42821727.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,15.966.433,-,-,-,-,-,-,-,-,15.966.433,15966433.0,,,,,,,,,15966433.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,16.063.585,-,-,156.659.225,111.625.429,129.305.173,100.803.835,58.297.476,3.026.972,575.781.695,16063585.0,,,156659225.0,111625429.0,129305173.0,100803835.0,58297476.0,3026972.0,575781695.0
Mức chênh nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,72.348.303,13.194.005,8.444.832,45.007.353,139.352.647,(100.216.708),(89.051.336),(49.679.478),19.748.493,59.148.111,72348303.0,13194005.0,8444832.0,45007353.0,139352647.0,-100216708.0,-89051336.0,-49679478.0,19748493.0,59148111.0
Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,Nợ phải trả > Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,(220),-,-,-,-,-,-,-,-,-,-220.0,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bằng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bằng","Mức chênh nhạy cảm với lãi suất nội, ngoại bằng",72.348.083,13.194.005,8.444.832,45.007.353,139.352.647,(100.216.708),(89.051.336),(49.679.478),19.748.493,59.148.111,72348083.0,13194005.0,8444832.0,45007353.0,139352647.0,-100216708.0,-89051336.0,-49679478.0,19748493.0,59148111.0
