row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy vi tính,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.347.706,375.288,20.062,4.743.056,4347706.0,375288.0,20062.0,4743056.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,12.664,64.845,-,77.509,12664.0,64845.0,,77509.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.360.370,440.133,20.062,4.820.565,4360370.0,440133.0,20062.0,4820565.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.595,280.772,14.810,302.177,6595.0,280772.0,14810.0,302177.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,22.793,999,23.950,158.0,22793.0,999.0,23950.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.753,303.565,15.809,326.127,6753.0,303565.0,15809.0,326127.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.341.111,94.516,5.252,4.440.879,4341111.0,94516.0,5252.0,4440879.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.353.617,136.568,4.253,4.494.438,4353617.0,136568.0,4253.0,4494438.0
