row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Ông Lương Trí Tú,Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Ứng tiền nhận chuyển nhượng đất,57.245.265.000,-,,,57245265000.0,
Nhân viên Tập đoàn,Nhân viên Tập đoàn,Nhân viên Tập đoàn,,Doanh thu từ dịch vụ bất động sản,50.517.744.826,-,,,50517744826.0,
LDG,LDG,LDG,Công ty liên kết trước đây,Doanh thu dịch vụ BĐS,8.176.452.948,79.277.219.479,,,8176452948.0,79277219479.0
LDG,LDG,LDG,Công ty liên kết trước đây,Ứng tiền nhận chuyển nhượng dự án,-,489.740.000.000,,,,489740000000.0
LDG,LDG,LDG,Công ty liên kết trước đây,Nhận vốn góp,-,316.250.000.000,,,,316250000000.0
LDG,LDG,LDG,Công ty liên kết trước đây,HĐHTKD Vốn góp,-,162.712.506.018,,,,162712506018.0
LDG,LDG,LDG,Công ty liên kết trước đây,HĐHTKD dài hạn,-,90.909.090.909,,,,90909090909.0
LDG,LDG,LDG,Công ty liên kết trước đây,Chia lợi nhuận HĐHTKD,-,70.000.000.000,,,,70000000000.0
LDG,LDG,LDG,Công ty liên kết trước đây,Nhận đặt cọc chuyển nhượng cổ phần,-,30.866.645.000,,,,30866645000.0
LDG,LDG,LDG,Công ty liên kết trước đây,Nhận ký quỹ HĐHTKD,-,30.866.645.000,,,,30866645000.0
"Công ty Cổ phần Đầu tư Xây dựng Đại Thịnh Phát (""Đại Thịnh Phát"")","Công ty Cổ phần Đầu tư Xây dựng Đại Thịnh Phát (""Đại Thịnh Phát"")","Công ty Cổ phần Đầu tư Xây dựng Đại Thịnh Phát (""Đại Thịnh Phát"")",Bên liên quan trước đây,Doanh thu dịch vụ xây dựng,55.383.277.902,176.168.681.165,,,55383277902.0,176168681165.0
"Công ty Cổ phần Đầu tư và Phát triển Địa ốc Nam Sài Gòn (""Nam Sài Gòn"")","Công ty Cổ phần Đầu tư và Phát triển Địa ốc Nam Sài Gòn (""Nam Sài Gòn"")","Công ty Cổ phần Đầu tư và Phát triển Địa ốc Nam Sài Gòn (""Nam Sài Gòn"")",Bên liên quan trước đây,Doanh thu dịch vụ xây dựng,-,16.339.437.495,,,,16339437495.0
