row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phân mềm,Trang web,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phân mềm,numeric__Trang web,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,13.604.427.761,23.805.710.234,657.166.005,482.733.600,38.550.037.600,13604427761.0,23805710234.0,657166005.0,482733600.0,38550037600.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,608.571.474,2.204.288.259,-,48.000.000,2.860.859.733,608571474.0,2204288259.0,,48000000.0,2860859733.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,-,631.471.190,-,-,631.471.190,,631471190.0,,,631471190.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,(531.000.000),-,-,(531.000.000),,-531000000.0,,,-531000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,14.212.999.235,26.110.469.683,657.166.005,530.733.600,41.511.368.523,14212999235.0,26110469683.0,657166005.0,530733600.0,41511368523.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,-,222.000.000,-,-,222.000.000,,222000000.0,,,222000000.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(6.047.894.547),(642.166.017),(382.400.844),(7.072.461.408),,-6047894547.0,-642166017.0,-382400844.0,-7072461408.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(4.446.395.046),(14.999.988),(43.581.077),(4.504.976.111),,-4446395046.0,-14999988.0,-43581077.0,-4504976111.0
Tăng do mua công ty con,Giá trị hao mòn lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,-,(160.204.944),-,-,(160.204.944),,-160204944.0,,,-160204944.0
Giảm do thanh lý công ty con,Giá trị hao mòn lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,120.566.671,-,-,120.566.671,,120566671.0,,,120566671.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(10.533.927.866),(657.166.005),(425.981.921),(11.617.075.792),,-10533927866.0,-657166005.0,-425981921.0,-11617075792.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,13.604.427.761,17.757.815.687,14.999.988,100.332.756,31.477.576.192,13604427761.0,17757815687.0,14999988.0,100332756.0,31477576192.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,14.212.999.235,15.576.541.817,-,104.751.679,29.894.292.731,14212999235.0,15576541817.0,,104751679.0,29894292731.0
