row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộchưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộchưa thực hiện,Lợi nhuận nội bộchưa thực hiện,155.438.696.267,19.186.737.978,136.251.958.290,10.900.606.311,155438696267.0,19186737978.0,136251958290.0,10900606311.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,7.454.403.317,6.400.791.892,1.053.611.425,(1.367.294.243),7454403317.0,6400791892.0,1053611425.0,-1367294243.0
Dự phòng cáckhoản phải thu,Tài sản thuế thu nhập hoãn lại > Dự phòng cáckhoản phải thu,Dự phòng cáckhoản phải thu,282.072.002,282.072.002,-,(17.128.795),282072002.0,282072002.0,,-17128795.0
Thuế TNDN đànộp từ các khoảntiền thanh toántheo tiến độ củakhách hàng (*),Tài sản thuế thu nhập hoãn lại > Thuế TNDN đànộp từ các khoảntiền thanh toántheo tiến độ củakhách hàng (*),Thuế TNDN đànộp từ các khoảntiền thanh toántheo tiến độ củakhách hàng (*),26.851.324.913,10.701.431.557,15.889.473.143,(5.830.936.188),26851324913.0,10701431557.0,15889473143.0,-5830936188.0
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,255.482.898,-,255.482.898,-,255482898.0,,255482898.0,
,,,190.281.979.397,36.571.033.429,,,190281979397.0,36571033429.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Dự phòng cáckhoản đầu tư,Thuế thu nhập hoãn lại phải trả > Dự phòng cáckhoản đầu tư,Dự phòng cáckhoản đầu tư,(3.272.915.343),-,"(3,272,915,343)",-,-3272915343.0,,,
Khác,Thuế thu nhập hoãn lại phải trả > Khác,Khác,(1.299.543.680),-,(1.299.543.680),-,-1299543680.0,,-1299543680.0,
,,,(4.572.459.023),-,-,-,-4572459023.0,,,
Thu nhập thuế hoãn lại tỉnh vào báo cáo kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế hoãn lại tỉnh vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập thuế hoãn lại tỉnh vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập thuế hoãn lại tỉnh vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập thuế hoãn lại tỉnh vào báo cáo kết quả kinh doanh hợp nhất,148.878.066.733,3.685.247.085,,,148878066733.0,3685247085.0
