row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
LDG,Phải thu ngắn hạn của khách hàng > LDG,LDG,Công ty liên kết trước đây,Doanh thu dịch vụ BĐS,79.452.171.156,17.181.207.067,,,79452171156.0,17181207067.0
LDG,Phải thu ngắn hạn của khách hàng > LDG,LDG,Công ty liên kết trước đây,Doanh thu dịch vụ xây dựng,1.175.385.919,1.240.097.200,,,1175385919.0,1240097200.0
Đại Thịnh Phát,Phải thu ngắn hạn của khách hàng > Đại Thịnh Phát,Đại Thịnh Phát,Bên liên quan trước đây,Doanh thu dịch vụ xây dựng,64.196.598.331,-,,,64196598331.0,
Ông Lương Trí Tú,Phải thu ngắn hạn của khách hàng > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Doanh thu bán căn hộ,1.440.995.636,1.754.502.126,,,1440995636.0,1754502126.0
Ông Lương Trí Thảo,Phải thu ngắn hạn của khách hàng > Ông Lương Trí Thảo,Ông Lương Trí Thảo,"Thành viên Hội đồng Quản trị (""HĐQT"")",Doanh thu bán căn hộ,1.293.624.165,1.661.122.641,,,1293624165.0,1661122641.0
Nam Sài Gòn,Phải thu ngắn hạn của khách hàng > Nam Sài Gòn,Nam Sài Gòn,Bên liên quan trước đây,Doanh thu dịch vụ xây dựng,825.555.997,-,,,825555997.0,
Nam Sài Gòn,Phải thu ngắn hạn của khách hàng > Nam Sài Gòn,Nam Sài Gòn,Bên liên quan trước đây,Doanh thu dịch vụ BĐS,-,9.578.688.195,,,,9578688195.0
,,,,,148.384.331.204,31.415.617.229,,,148384331204.0,31415617229.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,,
LDG,Phải thu khác > LDG,LDG,Công ty liên kết trước đây,Kỳ quỹ,87.500.000.000,7.000.000.000,,,87500000000.0,7000000000.0
LDG,Phải thu khác > LDG,LDG,Công ty liên kết trước đây,Chỉ hộ,3.633.212.041,2.606.672.527,,,3633212041.0,2606672527.0
LDG,Phải thu khác > LDG,LDG,Công ty liên kết trước đây,Ứng tiền nhận chuyển nhượng dự án Vốn góp HĐHTKD dài hạn,-,489.740.000.000,,,,489740000000.0
Ông Lương Trí Tú,Phải thu khác > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Ứng tiền nhận chuyển nhượng đất,67.703.023.332,10.417.011.838,,,67703023332.0,10417011838.0
Ông Lương Trí Tú,Phải thu khác > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Tạm ứng,1.813.413.900,1.813.713.900,,,1813413900.0,1813713900.0
Nam Sài Gòn,Phải thu khác > Nam Sài Gòn,Nam Sài Gòn,Bên liên quan trước đây,Kỳ quỹ,700.000.000,-,,,700000000.0,
Ông Nguyễn Trường Sơn,Phải thu khác > Ông Nguyễn Trường Sơn,Ông Nguyễn Trường Sơn,Phó Tổng Giám đốc,Tạm ứng,-,7.014.000.000,,,,7014000000.0
Ông Trần Công Luận,Phải thu khác > Ông Trần Công Luận,Ông Trần Công Luận,Phó Tổng Giám đốc,Tạm ứng,,1.549.000.000,,,,1549000000.0
Ông Nguyễn Khánh Hưng,Phải thu khác > Ông Nguyễn Khánh Hưng,Ông Nguyễn Khánh Hưng,Phó Chủ tịch HDQT,Tạm ứng,-,398.822.600,,,,398822600.0
