row_label_raw,row_label_full,Ông LươngTrí Thảo,Thành viênHĐQT,Khác,418.284.000,418.284.000_1,numeric__Thành viênHĐQT,numeric__Khác,numeric__418.284.000,numeric__418.284.000_1
Ông NguyễnTrường Sơn,Ông NguyễnTrường Sơn,Ông NguyễnTrường Sơn,Phó TGD,Khác,50.000.000,50.000.000,,,50000000.0,50000000.0
Ông LươngTrí Thín,Ông LươngTrí Thín,Ông LươngTrí Thín,Chủ tịch HĐQT,Khác,42.000.000,42.000.000,,,42000000.0,42000000.0
LDG,LDG,LDG,Công ty liên kết,Nhận vốn gópHĐHTKDNhận ký quỹHĐHTKDNhận đặt cọcchuyểnnhượng cổ phầnThu hộTạm ứng,-,316.250.000.00030.866.645.00022.078.247.0142.563.000.008210.000.000,,,,3.1625000000030866e+52
Đất Xanh Premium,Đất Xanh Premium,Đất Xanh Premium,Công ty con,Ký quỹ,-,1.200.000.000,,,,1200000000.0
,,,,,510.284.000,373.678.176.022,,,510284000.0,373678176022.0
