row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thiếu (thừa) trong những năm trước,Năm nay > 345.200.325.691 > 4.637.697.962,VNDNăm trước > 507.011.850.827 > (1.031.501.089),numeric__Năm nay > 345.200.325.691 > 4.637.697.962,numeric__VNDNăm trước > 507.011.850.827 > (1.031.501.089)
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,(148.878.066.733),(3.685.247.085),-148878066733.0,-3685247085.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,200.959.956.920,502.295.102.653,200959956920.0,502295102653.0
