row_label_raw,row_label_full,col_0,col_1,Số cuối năm,VND Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__VND Số đầu năm
Bắt động sản dở dang,Bắt động sản dở dang,Bắt động sản dở dang,(i),9.620.347.821.442,6.442.659.029.053,,9620347821442.0,6442659029053.0
Bắt động sản hàng hóa,Bắt động sản hàng hóa,Bắt động sản hàng hóa,(ii),301.104.152.951,138.891.881.864,,301104152951.0,138891881864.0
Các công trình xây dựng dở dang,Các công trình xây dựng dở dang,Các công trình xây dựng dở dang,,262.291.725.150,149.540.103.421,,262291725150.0,149540103421.0
Bắt động sản thành phẩm,Bắt động sản thành phẩm,Bắt động sản thành phẩm,,47.590.171.659,47.557.988.201,,47590171659.0,47557988201.0
- Dự án Lux Garden,- Dự án Lux Garden,- Dự án Lux Garden,,29.291.978.221,29.292.044.763,,29291978221.0,29292044763.0
- Dự án Khu dân cư nút giao thôngPhó Đức Chính và Ngô Quyền,- Dự án Khu dân cư nút giao thôngPhó Đức Chính và Ngô Quyền,- Dự án Khu dân cư nút giao thôngPhó Đức Chính và Ngô Quyền,,11.980.334.902,11.948.084.902,,11980334902.0,11948084902.0
- Dự án An Viên,- Dự án An Viên,- Dự án An Viên,,4.235.209.583,4.235.209.583,,4235209583.0,4235209583.0
"- Dự án Sunview 1, 2","- Dự án Sunview 1, 2","- Dự án Sunview 1, 2",,2.082.648.953,2.082.648.953,,2082648953.0,2082648953.0
Nguyên vật liệu xây dựng,Nguyên vật liệu xây dựng,Nguyên vật liệu xây dựng,,17.220.673.087,8.983.568.183,,17220673087.0,8983568183.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",,2.107.016.251,2.982.812.672,,2107016251.0,2982812672.0
Hàng hóa,Hàng hóa,Hàng hóa,,1.019.790.130,848.797.990,,1019790130.0,848797990.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,10.251.681.350.670,6.791.464.181.384,,10251681350670.0,6791464181384.0
